"","cov_id","ts_id"
"378","usfs_solf lake fish pass","usfs_solf lake fish pass"
"379","usfs_solf lake outlet creek","usfs_solf lake outlet creek"
"380","usfs_stump lake outlet","usfs_stump lake outlet"
"381","15200280","usgs_15200280"
"382","15209700","usgs_15209700"
"383","15212000","usgs_15212000"
"384","15215900","usgs_15215900"
"385","15219000","usgs_15219000"
"386","15236900","usgs_15236900"
"387","15237030","usgs_15237030"
"388","15238450","usgs_15238450"
"389","15238984","usgs_15238984"
"390","15238986","usgs_15238986"
"391","15239070","usgs_15239070"
"392","15241600","usgs_15241600"
"393","15258000","usgs_15258000"
"394","15260001","usgs_15260001"
"395","15261000","usgs_15261000"
"396","15266110","usgs_15266110"
"397","15266300","usgs_15266300"
"398","15272380","usgs_15272380"
"399","15274000","usgs_15274000"
"400","15274600","usgs_15274600"
"401","15276000","usgs_15276000"
"402","15280999","usgs_15280999"
"403","15283700","usgs_15283700"
"404","15284000","usgs_15284000"
"405","15285000","usgs_15285000"
"406","15290000","usgs_15290000"
"407","15291000","usgs_15291000"
"408","15291700","usgs_15291700"
"409","15292100","usgs_15292100"
"410","15292400","usgs_15292400"
"411","15292700","usgs_15292700"
"412","15292780","usgs_15292780"
"413","15292800","usgs_15292800"
"414","15293200","usgs_15293200"
"415","15293700","usgs_15293700"
"416","15294005","usgs_15294005"
"417","15294080","usgs_15294080"
"418","15294345","usgs_15294345"
"419","15294350","usgs_15294350"
"420","15295700","usgs_15295700"
"421","15297475","usgs_15297475"
"422","15298040","usgs_15298040"
"423","15300100","usgs_15300100"
"424","15300250","usgs_15300250"
"425","15300270","usgs_15300270"
"426","15300300","usgs_15300300"
"427","15300320","usgs_15300320"
"428","15301500","usgs_15301500"
"429","15302000","usgs_15302000"
"430","15302200","usgs_15302200"
"431","15302250","usgs_15302250"
"432","15302300","usgs_15302300"
"433","15302320","usgs_15302320"
"434","15302812","usgs_15302812"
"435","uw_aleknagik bear creek","uw_aleknagik bear creek"
"436","uw_aleknagik big whitefish creek","uw_aleknagik big whitefish creek"
"437","uw_aleknagik eagle creek","uw_aleknagik eagle creek"
"438","uw_aleknagik hansen creek","uw_aleknagik hansen creek"
"439","uw_aleknagik happy creek","uw_aleknagik happy creek"
"440","uw_aleknagik ice creek","uw_aleknagik ice creek"
"441","uw_aleknagik mission creek","uw_aleknagik mission creek"
"442","uw_aleknagik pfifer creek","uw_aleknagik pfifer creek"
"443","uw_aleknagik silver salmon creek","uw_aleknagik silver salmon creek"
"444","uw_aleknagik yako creek","uw_aleknagik yako creek"
"445","uw_beverley hope creek","uw_beverley hope creek"
"446","uw_beverley moose creek","uw_beverley moose creek"
"447","uw_beverley uno creek","uw_beverley uno creek"
"448","uw_kulik grant river","uw_kulik grant river"
"449","uw_kulik k-3 creek","uw_kulik k-3 creek"
"450","uw_kulik kulik creek","uw_kulik kulik creek"
"451","uw_little togiak c creek","uw_little togiak c creek"
"452","uw_little togiak creek","uw_little togiak creek"
"453","uw_nerka allah creek","uw_nerka allah creek"
"454","uw_nerka bear creek","uw_nerka bear creek"
"455","uw_nerka berm creek","uw_nerka berm creek"
"456","uw_nerka cabin creek","uw_nerka cabin creek"
"457","uw_nerka chamee creek","uw_nerka chamee creek"
"458","uw_nerka cottonwood creek","uw_nerka cottonwood creek"
"459","uw_nerka elva creek","uw_nerka elva creek"
"460","uw_nerka fenno creek","uw_nerka fenno creek"
"461","uw_nerka hidden lake creek","uw_nerka hidden lake creek"
"462","uw_nerka joe creek","uw_nerka joe creek"
"463","uw_nerka kema creek","uw_nerka kema creek"
"464","uw_nerka lynx creek","uw_nerka lynx creek"
"465","uw_nerka lynx creek cold tributary","uw_nerka lynx creek cold tributary"
"466","uw_nerka n4 creek","uw_nerka n4 creek"
"467","uw_nerka pick creek","uw_nerka pick creek"
"468","uw_nerka rainbow creek","uw_nerka rainbow creek"
"469","uw_nerka sam creek","uw_nerka sam creek"
"470","uw_nerka seventh creek","uw_nerka seventh creek"
"471","uw_nerka stovall creek","uw_nerka stovall creek"
"472","uw_nerka teal creek","uw_nerka teal creek"
"473","uw_agulowak river","uw_agulowak river"
"474","uw_agulukpak river","uw_agulukpak river"
"475","uw_aleknagik sunshine creek","uw_aleknagik sunshine creek"
"476","uw_nerka little togiak river","uw_nerka little togiak river"
"477","uw_nerka lynx lake tributary","uw_nerka lynx lake tributary"
"478","uw_nerka beaver creek","uw_nerka beaver creek"
"479","uw_nerka bug creek","uw_nerka bug creek"
"480","nerka pike creek","uw_nerka pike creek"
"481","uw_nerka sixth creek","uw_nerka sixth creek"
"482","uw_beverley silverhorn creek","uw_beverley silverhorn creek"
"483","uw_aleknagik squaw creek","uw_aleknagik squaw creek"
"484","uw_aleknagik youth creek","uw_aleknagik youth creek"
