Year,Stream,WatershedSlope,CumulativeSummerPrecip,PcntNorthFacing,MeanAirTemp,SnowResidual,TempSensitivity,MeanStreamTemp
2014,Sixth,12.351929,29.9974,-2.567127792,12.84240802,-6.389011881,0.096855633,7.876190476
2015,Pick,9.387651,30.5054,-1.209221038,13.13629035,-27.02691163,0.123294921,7.252496212
2015,Hidden,12.871619,30.5054,0.216884088,13.13629035,-4.702912343,0.468221883,13.80285119
2015,Lynx,15.606471,30.5054,-1.348596387,13.13629035,-31.96906621,0.528155238,13.9431737
2015,Teal,7.94316,30.5054,-1.62967145,13.13629035,-24.48078426,0.565226255,12.16987284
2015,K3,23.723655,30.5054,-1.652429875,13.13629035,5.67622454,0.19988171,6.985117778
2015,Moose,4.59752,30.5054,-0.77707999,13.13629035,-14.15050012,0.553495811,14.8696102
2015,Sam,20.211838,30.5054,-2.309247779,13.13629035,-23.31243354,0.260523051,10.62072167
2015,Joe,25.041393,30.5054,-2.465496276,13.13629035,-20.16542673,0.182911209,7.924621753
2015,Kema,6.499086,30.5054,-0.602258763,13.13629035,0.663333054,0.42941714,12.83657556
2015,Whitefish,3.76125,30.5054,-0.667728931,13.13629035,-29.9545175,0.470795805,13.16553274
2015,Yako,9.955717,30.5054,-1.008828266,13.13629035,3.415937955,0.199410464,7.656623355
2015,Bear,12.483559,30.5054,-0.429630577,13.13629035,-1.796677169,0.185454111,8.483562771
2015,Hansen,8.52333,30.5054,-1.928388895,13.13629035,-60.1182142,0.299027933,9.190960498
2015,Happy,12.666353,30.5054,-1.46615611,13.13629035,-25.44023163,0.23561975,9.097167222
2015,NerkaBear,3.172538,30.5054,-0.784660009,13.13629035,-2.694322831,0.566252417,14.86500325
2015,Rainbow,26.3011,30.5054,-1.584790211,13.13629035,0.945417666,0.066414771,6.32238293
2015,Eagle,7.855616,30.5054,-1.855147022,13.13629035,-45.53838694,0.401893448,10.16489935
2015,SilverSalmon,4.59081,30.5054,-0.571038317,13.13629035,-35.41224449,0.59850575,13.38779383
2015,Allah,19.366984,30.5054,-0.56081257,13.13629035,-2.867674035,0.260246763,8.699474567
2015,Berm,17.17625,30.5054,-2.478771661,13.13629035,-53.35418545,0.227238085,7.818703463
2015,Seventh,11.898106,30.5054,-2.12007121,13.13629035,-54.48175486,0.208294752,8.629074134
2015,C,21.754516,30.5054,-4.840806802,13.13629035,-26.33942744,0.032800507,5.084118738
2015,LynxCold,11.269006,30.5054,-1.155246905,13.13629035,-13.57629562,0.167369116,7.546080314
2016,Pick,9.387651,30.9626,-1.209221038,13.81008753,-24.01441163,0.277775939,7.94286039
2016,Elva,25.589177,30.9626,-1.32046331,13.81008753,-19.16739135,0.593497368,12.8843171
2016,Hidden,12.871619,30.9626,0.216884088,13.81008753,-8.13423185,0.468121766,14.22812121
2016,Lynx,15.606471,30.9626,-1.348596387,13.81008753,-31.57140429,0.46722505,14.09988484
2016,Teal,7.94316,30.9626,-1.62967145,13.81008753,-30.63253703,0.705125963,12.74013582
2016,Grant,6.922237,30.9626,-1.135106424,13.81008753,-11.48421728,0.418110804,14.33004816
2016,Moose,4.59752,30.9626,-0.77707999,13.81008753,-19.30491207,0.592074703,15.28083604
2016,Hope,7.818902,30.9626,-1.39967464,13.81008753,-18.8031196,0.486428233,13.68554383
2016,Sam,20.211838,30.9626,-2.309247779,13.81008753,-16.88592466,0.417622189,11.31102435
2016,Joe,25.041393,30.9626,-2.465496276,13.81008753,-20.59840919,0.442974864,9.068410173
2016,Cottonwood,29.522666,30.9626,-1.906520963,13.81008753,-11.6685286,0.331432321,7.623393398
2016,Fenno,13.319193,30.9626,-0.707435357,13.81008753,-25.3884678,0.624505571,12.33794589
2016,Kema,6.499086,30.9626,-0.602258763,13.81008753,-12.21079196,0.515928268,13.181704
2016,LTC,27.293937,30.9626,-1.375068418,13.81008753,-12.5511309,0.05852601,5.539650433
2016,Whitefish,3.76125,30.9626,-0.667728931,13.81008753,-33.65468827,0.373168718,13.18368019
2016,Yako,9.955717,30.9626,-1.008828266,13.81008753,-17.45380842,0.094365879,8.022862013
2016,Bear,12.483559,30.9626,-0.429630577,13.81008753,-19.2553305,0.145975313,8.873279762
2016,Hansen,8.52333,30.9626,-1.928388895,13.81008753,-51.09963835,0.449526139,9.326967533
2016,Happy,12.666353,30.9626,-1.46615611,13.81008753,-27.26776327,0.234563072,9.647542208
2016,Youth,16.057527,30.9626,-1.042170256,13.81008753,-13.28555367,0.52813729,10.71766613
2016,Stovall,3.342202,30.9626,-0.681491406,13.81008753,-23.65876461,0.735227149,15.82600487
2016,NerkaBear,3.172538,30.9626,-0.784660009,13.81008753,-21.49087851,0.61923209,15.06375866
2016,Rainbow,26.3011,30.9626,-1.584790211,13.81008753,1.510671261,0.159547565,6.519568723
2016,Eagle,7.855616,30.9626,-1.855147022,13.81008753,-48.66316198,0.243290287,9.360475108
2016,Mission,9.810514,30.9626,-2.041284619,13.81008753,-40.53875614,-0.055959874,5.072436688
