SiteID,SourceName,Year
Moose 1 Top of Study,CIK,2018
Moose 1 Top of Study,CIK,2019
Moose 2 Downstream,CIK,2017
Moose 2 Downstream,CIK,2018
Moose 2 Downstream,CIK,2019
Moose 2 Tributary,CIK,2017
Moose 2 Tributary,CIK,2018
Moose 2 Tributary,CIK,2019
Moose 2 Upstream,CIK,2017
Moose 2 Upstream,CIK,2018
Moose 2 Upstream,CIK,2019
Moose 3 Downstream,CIK,2017
Moose 3 Downstream,CIK,2018
Moose 3 Downstream,CIK,2019
Moose 3 Tributary,CIK,2017
Moose 3 Tributary,CIK,2018
Moose 3 Upstream,CIK,2017
Moose 3 Upstream,CIK,2019
Moose 4 Downstream,CIK,2017
Moose 4 Downstream,CIK,2018
Moose 4 Downstream,CIK,2019
Moose 4 Tributary,CIK,2018
Moose 4 Tributary,CIK,2019
Moose 4 Upstream,CIK,2017
Moose 4 Upstream,CIK,2018
Moose 4 Upstream,CIK,2019
Moose 5 Downstream,CIK,2017
Moose 5 Downstream,CIK,2018
Moose 5 Downstream,CIK,2019
Moose 5 Tributary,CIK,2018
Moose 5 Tributary,CIK,2019
Moose 5 Upstream,CIK,2017
Moose 5 Upstream,CIK,2018
Moose 6 Downstream,CIK,2017
Moose 6 Downstream,CIK,2018
Moose 6 Downstream,CIK,2019
Moose 6 Tributary,CIK,2017
Moose 6 Tributary,CIK,2018
Moose 6 Tributary,CIK,2019
Moose 6 Upstream,CIK,2017
Moose 6 Upstream,CIK,2018
Moose 6 Upstream,CIK,2019
Moose 7 Downstream,CIK,2017
Moose 7 Downstream,CIK,2018
Moose 7 Downstream,CIK,2019
Moose 7 Tributary,CIK,2019
Moose 7 Upstream,CIK,2017
Moose 7 Upstream,CIK,2018
Moose 7 Upstream,CIK,2019
Moose 8 Downstream,CIK,2018
Moose 8 Downstream,CIK,2019
Moose 8 Tributary,CIK,2017
Moose 8 Tributary,CIK,2018
Moose 8 Tributary,CIK,2019
Moose 8 Upstream,CIK,2017
Moose 8 Upstream,CIK,2018
Moose 8 Upstream,CIK,2019
OMCT1,fwsAnchorage,2019
OMCT2,fwsAnchorage,2019
OMCT3,fwsAnchorage,2019
OMCT4,fwsAnchorage,2019
OWL1,fwsAnchorage,2019
PGC1,fwsAnchorage,2019
PGC2,fwsAnchorage,2019
PGCT1,fwsAnchorage,2019
PMC1,fwsAnchorage,2019
PMC2,fwsAnchorage,2019
PMCT1,fwsAnchorage,2019
PNC1,fwsAnchorage,2019
PNCT1,fwsAnchorage,2019
PNCT2,fwsAnchorage,2019
PNCT4,fwsAnchorage,2019
PWMC1,fwsAnchorage,2019
fws_580223156504200,fwsAlaskaWRD,2015
fws_580223156504200,fwsAlaskaWRD,2016
fws_580223156504200,fwsAlaskaWRD,2017
fws_580223156504200,fwsAlaskaWRD,2018
fws_GELO,fwsakTogiakNWR,2003
fws_GELO,fwsakTogiakNWR,2004
fws_GELO,fwsakTogiakNWR,2005
fws_GELO,fwsakTogiakNWR,2006
fws_GELO,fwsakTogiakNWR,2007
fws_GELO,fwsakTogiakNWR,2008
fws_GELO,fwsakTogiakNWR,2009
fws_GELO,fwsakTogiakNWR,2011
fws_GELO,fwsakTogiakNWR,2012
fws_GELO,fwsakTogiakNWR,2013
fws_KULR,fwsakTogiakNWR,2002
fws_KULR,fwsakTogiakNWR,2003
fws_KULR,fwsakTogiakNWR,2006
fws_KULR,fwsakTogiakNWR,2007
fws_KULR,fwsakTogiakNWR,2008
fws_KULR,fwsakTogiakNWR,2011
fws_KULR,fwsakTogiakNWR,2012
fws_KULR,fwsakTogiakNWR,2013
fws_KULR,fwsakTogiakNWR,2014
fws_KULR,fwsakTogiakNWR,2015
fws_KULR,fwsakTogiakNWR,2016
fws_KULR,fwsakTogiakNWR,2017
fws_KULR,fwsakTogiakNWR,2018
fws_MALR,fwsakTogiakNWR,2003
fws_MALR,fwsakTogiakNWR,2006
fws_NCLO,fwsakTogiakNWR,2003
fws_NCLO,fwsakTogiakNWR,2004
fws_NCLO,fwsakTogiakNWR,2005
fws_NCLO,fwsakTogiakNWR,2006
fws_NCLO,fwsakTogiakNWR,2007
fws_NCLO,fwsakTogiakNWR,2008
fws_NCLO,fwsakTogiakNWR,2009
fws_NCLO,fwsakTogiakNWR,2010
fws_NCLO,fwsakTogiakNWR,2011
fws_NCLO,fwsakTogiakNWR,2012
fws_NCLO,fwsakTogiakNWR,2013
fws_NCLO,fwsakTogiakNWR,2014
fws_NCLO,fwsakTogiakNWR,2015
fws_NCLO,fwsakTogiakNWR,2016
fws_NCLO,fwsakTogiakNWR,2017
fws_NCLO,fwsakTogiakNWR,2018
fws_NCLO,fwsakTogiakNWR,2019
fws_Newhalen River,FWS - Alaska Region Office of Subsistence Management,2009
fws_Newhalen River,FWS - Alaska Region Office of Subsistence Management,2010
fws_Newhalen River,FWS - Alaska Region Office of Subsistence Management,2011
fws_Newhalen River,FWS - Alaska Region Office of Subsistence Management,2012
fws_Newhalen River,FWS - Alaska Region Office of Subsistence Management,2013
fws_Newhalen River,FWS - Alaska Region Office of Subsistence Management,2014
fws_Newhalen River,FWS - Alaska Region Office of Subsistence Management,2015
fws_Newhalen River,FWS - Alaska Region Office of Subsistence Management,2016
fws_Newhalen River,FWS - Alaska Region Office of Subsistence Management,2017
fws_Newhalen River,FWS - Alaska Region Office of Subsistence Management,2018
fws_OSLR,fwsakTogiakNWR,2002
fws_OSLR,fwsakTogiakNWR,2003
fws_OSLR,fwsakTogiakNWR,2005
fws_OSLR2,fwsakTogiakNWR,2010
fws_OSLR2,fwsakTogiakNWR,2011
fws_OSLR2,fwsakTogiakNWR,2012
fws_OSLR2,fwsakTogiakNWR,2013
fws_OSLR2,fwsakTogiakNWR,2017
fws_OSLR2,fwsakTogiakNWR,2018
fws_PULO,fwsakTogiakNWR,2003
fws_PULO,fwsakTogiakNWR,2004
fws_PULO,fwsakTogiakNWR,2005
fws_PULO,fwsakTogiakNWR,2006
fws_PULO,fwsakTogiakNWR,2007
fws_PULO,fwsakTogiakNWR,2008
fws_PULO,fwsakTogiakNWR,2009
fws_PULO,fwsakTogiakNWR,2012
fws_PULO,fwsakTogiakNWR,2014
fws_PULO,fwsakTogiakNWR,2015
fws_PULO,fwsakTogiakNWR,2016
fws_PULO,fwsakTogiakNWR,2017
fws_PULO,fwsakTogiakNWR,2018
fws_PULO,fwsakTogiakNWR,2019
fws_PULR,fwsakTogiakNWR,2003
fws_PULR,fwsakTogiakNWR,2004
fws_PULR,fwsakTogiakNWR,2005
fws_PULR,fwsakTogiakNWR,2008
fws_PULR,fwsakTogiakNWR,2009
fws_PULR,fwsakTogiakNWR,2010
fws_PULR,fwsakTogiakNWR,2011
fws_PULR,fwsakTogiakNWR,2012
fws_PULR,fwsakTogiakNWR,2013
fws_PULR,fwsakTogiakNWR,2014
fws_PULR,fwsakTogiakNWR,2015
fws_PULR,fwsakTogiakNWR,2019
fws_SLLR,fwsakTogiakNWR,2005
fws_SLLR,fwsakTogiakNWR,2006
fws_SLLR,fwsakTogiakNWR,2007
fws_SLLR,fwsakTogiakNWR,2008
fws_SLLR,fwsakTogiakNWR,2011
fws_SLLR,fwsakTogiakNWR,2014
fws_SLLR,fwsakTogiakNWR,2015
fws_SLLR,fwsakTogiakNWR,2016
fws_SLLR,fwsakTogiakNWR,2017
fws_SLLR,fwsakTogiakNWR,2018
fws_TOLO,fwsakTogiakNWR,2003
fws_TOLO,fwsakTogiakNWR,2004
fws_TOLO,fwsakTogiakNWR,2005
fws_TOLO,fwsakTogiakNWR,2006
fws_TOLO,fwsakTogiakNWR,2010
fws_TOLO,fwsakTogiakNWR,2011
fws_TOLO,fwsakTogiakNWR,2012
fws_TOLO,fwsakTogiakNWR,2013
fws_TOLO,fwsakTogiakNWR,2014
fws_TOLO,fwsakTogiakNWR,2015
fws_TOLO,fwsakTogiakNWR,2016
fws_TOLO,fwsakTogiakNWR,2017
fws_TOLO,fwsakTogiakNWR,2018
fws_TOLR,fwsakTogiakNWR,2003
fws_TOLR,fwsakTogiakNWR,2004
fws_TOLR,fwsakTogiakNWR,2005
fws_TOLR,fwsakTogiakNWR,2006
fws_TOLR,fwsakTogiakNWR,2007
fws_TOLR,fwsakTogiakNWR,2010
fws_TOLR,fwsakTogiakNWR,2011
fws_TOLR,fwsakTogiakNWR,2012
fws_TOLR,fwsakTogiakNWR,2013
fws_TOLR,fwsakTogiakNWR,2014
fws_TOLR,fwsakTogiakNWR,2015
fws_TOLR,fwsakTogiakNWR,2016
fws_WELR,fwsakTogiakNWR,2003
fws_WELR,fwsakTogiakNWR,2004
fws_WELR,fwsakTogiakNWR,2005
fws_WELR,fwsakTogiakNWR,2006
fws_WELR,fwsakTogiakNWR,2007
