cat_ID_con,HUC12,sp_ls,dist_coast_km,Region,wtd_area_sqKM,str_slope,cat_elev_MEAN,cat_slope_MEAN,wtd_north_per,wtd_slope_MEAN,wtd_glacier_per,wtd_lake_per,wtd_wet_per,name,wtd_lcld_jd,Year,summer_precip,intercept,snow_tc,preds_airDL,snow_year,Chinook,Sockeye,Chum,Pink,Coho,Spawning,Rearing
Prince_William_Sound_25516,190202030303,P_s,0.276613240161651,Prince_William_Sound,2.9587999999999997,0.0349705891,36.233256351039245,13.099896896015046,34.6897392,17.708767517383347,0,3.627217610643443,3.9475462,AwcHuc12_wtd_lcld_mn_2018,479.11614545454563,2018,619.46,1.611927990129773,448.59039695057083,0.1678946834051819,min,0,0,0,1,0,1,0
Prince_William_Sound_17697,190202030304,"P_s, P_p, CH_p",0.319725675227718,Prince_William_Sound,9.2401,0.061724696388,61.08844174075811,14.631823196744698,25.604702,18.06414803942792,0,0.416744471633255,7.4739451,AwcHuc12_wtd_lcld_mn_2016,475.5452037006975,2016,689.38,-11.916184305714133,430.8464022386581,0.23446310491715264,min,0,0,1,1,0,1,0
Prince_William_Sound_26246,190202030305,"P_p, CH_p",0.519550661019243,Prince_William_Sound,1.7598,0.052073102026,80.99342375667894,18.32817765581162,37.7429237,18.361407708930052,0,0.268683583982916,6.1484261,AwcHuc12_wtd_lcld_mn_2016,438.44213836478116,2016,782.32,-11.916184305714133,393.2038733243856,0.13171626411194343,min,0,0,1,1,0,0,0
Prince_William_Sound_17027,190202030306,"P_s, P_p, CH_p, CH_s",0.452141249824204,Prince_William_Sound,3.7594999999999996,0.054069746899,70.89349930843709,11.51437977430853,30.9482651,15.84716240632211,0,0.151322036022462,12.8660727,AwcHuc12_wtd_lcld_mn_2016,441.99654595498953,2016,756.3,-11.916184305714133,401.3211056330685,0.18799584564402325,min,0,0,1,1,0,1,0
Prince_William_Sound_41995,190202030401,"S_r, CO_r, P_s, CT_p, CO_p",0.393007992027842,Prince_William_Sound,8.12,0.025527499792,31.739919830228686,9.381342420800518,46.1182251,8.988986074443165,0,7.752910010434531,37.75,AwcHuc12_wtd_lcld_mn_2015,423.09669621273156,2015,659.13,-13.989906438165256,392.7936767255137,0.3490233280515717,min,0,1,0,1,1,1,1
Prince_William_Sound_44545,190202030402,"P_s, CO_r",0.185416183074992,Prince_William_Sound,11.8517,0.015423156166,10.560043668122276,5.807333859617094,42.0024147,21.05211649240184,0,0.317665046951064,4.1099591,AwcHuc12_wtd_lcld_mn_2016,468.0508717844195,2016,963.12,-11.916184305714133,417.92953804157594,0.04195633143388709,min,0,0,0,1,1,1,1
Prince_William_Sound_44595,190202030403,"DV_p, CT_p, P_p, CH_p",0.317919479545104,Prince_William_Sound,6.6861,0.015480360283,16.929635336414975,7.871476696667862,27.6424217,8.979406344245774,0,3.251199256322624,39.8393669,AwcHuc12_wtd_lcld_mn_2016,421.4304101431187,2016,983.28,-11.916184305714133,393.2184979773371,0.1873450335730041,min,0,0,1,1,0,0,0
Prince_William_Sound_41515,190202030404,"P_p, CH_p",0.166972062542418,Prince_William_Sound,5.3126999999999995,0.013587329482,19.972758229284942,11.16284239886672,38.7825394,10.700924150538434,0,2.507762417127614,22.4819775,AwcHuc12_wtd_lcld_mn_2015,423.5247566525035,2015,639.72,-13.989906438165256,390.1149307761068,0.22652180816848863,min,0,0,1,1,0,0,0
Prince_William_Sound_31226,190202030405,"P_s, CO_s, CH_s",0.42031172891788,Prince_William_Sound,19.6651,0.004334433101,6.063172043010748,4.73872686567045,38.4213676,18.975475118628815,4.475209259098943,0.059184962768342,5.5311184,AwcHuc12_wtd_lcld_mn_2016,468.849405798402,2016,905.56,-11.916184305714133,422.49673797762665,-5.920441345557687e-4,min,0,0,1,1,1,1,0
Prince_William_Sound_30886,190202030406,P_s,0.225399594377325,Prince_William_Sound,9.1768,0.008020844943,9.084628670120892,3.595870159498685,42.9267273,22.229997854295675,4.193161605611378,0.052946927279489,3.9011421,AwcHuc12_wtd_lcld_mn_2016,470.2171162443221,2016,884.21,-11.916184305714133,417.9581763626086,-0.006083016323204241,min,0,0,0,1,0,1,0
Prince_William_Sound_18357,190202030407,"CH_s, DV_p, CO_p, P_s",0.596034153729433,Prince_William_Sound,20.2364,0.013060193748,6.312500000000003,3.536476952041978,24.0981598,20.203347980346948,1.262146430237667,0.034118394331972,5.5978336,AwcHuc12_wtd_lcld_mn_2015,461.2820853663584,2015,651.2,-13.989906438165256,410.6273652502873,0.0842537525324527,min,0,0,1,1,1,1,0
Prince_William_Sound_18547,190202030408,"CO_r, P_s",0.645013862776962,Prince_William_Sound,24.2955,0.002160561186,6.313089622641513,2.425719205047777,27.2050381,18.336905599560975,0.34570336015827,0.106074348159356,11.9161987,AwcHuc12_wtd_lcld_mn_2016,460.80603944901947,2016,661.06,-11.916184305714133,415.6122405671837,0.13293422978127972,min,0,0,0,1,1,1,1
Prince_William_Sound_3038,190202030409,"P_p, CO_r",0.863675297137413,Prince_William_Sound,32.4186,0.006720796026,10.591067285382817,5.335330225399889,25.7629871,15.493127484792815,0,0.18968784288399199,22.1665955,AwcHuc12_wtd_lcld_mn_2016,438.0862742993454,2016,568.08,-11.916184305714133,398.05333265863163,0.16858493262420698,min,0,0,0,1,1,0,1
Prince_William_Sound_32766,190202030502,"S_p, P_s, P_p, CH_p",0.183283693390861,Prince_William_Sound,6.3285,0.040952928788,107.6824512534818,24.8132948670547,29.0037136,23.245918440716224,0,0,0.7553133,AwcHuc12_wtd_lcld_mn_2015,501.3241332200992,2015,517.22,-13.989906438165256,445.147789700825,0.08506151274093686,min,0,1,1,1,0,1,0
Prince_William_Sound_16467,190202030503,P_s,0.370314923364481,Prince_William_Sound,6.5973,0.01465519066,125.55244622120692,24.373139006230154,15.8564863,29.1036900484838,3.568405077989522,5.738791053341002,0.1424825,AwcHuc12_wtd_lcld_mn_2014,520.0264306133711,2014,840.58,-7.324500500029187,459.88487355394403,0.00911724126172669,min,0,0,0,1,0,1,0
Prince_William_Sound_18737,190202030701,"CO_s, DV_p, S_p, CO_r, CT_p, P_s",0.224239470609734,Prince_William_Sound,64.8968,0.004313962695,8.204172876304026,4.933540486920596,18.9608727,18.52688600871149,1.335188562728398,0.139229824732524,15.6374426,AwcHuc12_wtd_lcld_mn_2016,443.94204933793,2016,735.03,-11.916184305714133,398.4034760993523,0.14695657380758623,min,0,1,0,1,1,1,1
Prince_William_Sound_18967,190202030702,"P_s, CO_r",0.648819318781607,Prince_William_Sound,52.2421,0.00426585358,13.338648180242636,4.136201468559796,20.1150036,21.200635250262316,2.114053423263084,0.031778199260768,6.9248748,AwcHuc12_wtd_lcld_mn_2016,466.09661801824024,2016,797.0699999999999,-11.916184305714133,415.7057540673378,0.14506644746536151,min,0,0,0,1,1,1,1
Cook_Inlet_75004300006149,190203010104,"S_s, CO_s",36.80510708065489,Cook_Inlet,593.6394497346507,9.999999999999999e-6,35.628742514970135,1.891033635543173,30.6805134,11.851721343801572,65.02415176949353,0.531202309813323,0.4264601,AwcHuc12_wtd_lcld_mn_2014,547.2728252185311,2014,315.66,-7.324500500029187,518.4399511927056,0.25599143614783465,min,0,1,0,0,1,1,0
Cook_Inlet_75004300004090,190203010202,"S_p, CO_s",38.879665256791235,Cook_Inlet,194.8903004402673,0.01776765,103.26219832109106,12.075355562955156,30.4710674,21.066219474840008,14.64552329666526,0.279266775909801,0.2631262,AwcHuc12_wtd_lcld_mn_2014,491.67597082314126,2014,333.94,-7.324500500029187,446.12072694858665,0.13498597241093288,min,0,1,0,0,1,1,0
Cook_Inlet_75004300005103,190203010301,"S_s, P_p",40.35681782015518,Cook_Inlet,56.97809989841427,0.03618191,82.1610429447854,6.27487489272983,20.5131588,9.344437172208844,0,0.045805192848565,1.224805,AwcHuc12_wtd_lcld_mn_2014,440.68716641568125,2014,365.76,-7.324500500029187,416.40448412433636,0.2698415336574524,min,0,1,0,1,0,1,0
Cook_Inlet_75004300008120,190203010302,"DV_p, S_s",37.3749329202989,Cook_Inlet,50.320475269910126,0.0297228,279.34080000000154,17.39321349262705,26.3038445,8.240597434938943,0,0.098635329633244,0.3159752,AwcHuc12_wtd_lcld_mn_2014,466.6552014689837,2014,405.79,-7.324500500029187,444.3757553905991,0.352713738830631,min,0,1,0,0,0,1,0
Cook_Inlet_75004300004018,190203010303,"DV_p, S_p, CO_s",29.120199420234766,Cook_Inlet,39.14994993504276,9.999999999999999e-6,35.816618911174714,2.174874486307168,33.9722977,5.088811719240665,0,0.681749288558265,4.4815192,AwcHuc12_wtd_lcld_mn_2014,402.0912461121469,2014,342.8,-7.324500500029187,385.5316260809687,0.33024176249511866,min,0,1,0,0,1,1,0
Cook_Inlet_75004300006012,190203010304,"DV_p, S_s, CO_s, P_p",24.264783510133068,Cook_Inlet,143.72105007537576,0.00621363,131.3241641507343,7.389194554205294,28.1643734,7.660324984778819,0,0.648071914428793,3.1735585,AwcHuc12_wtd_lcld_mn_2015,436.5561290520133,2015,174.98,-13.989906438165256,408.6643490950463,0.3548089181827796,min,0,1,0,1,1,1,0
Cook_Inlet_75004300006013,190203010305,"S_s, CO_s",20.20071900719034,Cook_Inlet,44.80867510981797,2.4197000000000002e-4,44.69440654843116,4.12883401625829,18.7510452,6.589901267958043,0,2.577463409536333,7.3222771,AwcHuc12_wtd_lcld_mn_2015,406.62273306041146,2015,175.21,-13.989906438165256,380.6735462900699,0.36668660239702516,min,0,1,0,0,1,1,0
Cook_Inlet_75004300000754,190203010306,"K_r, CO_r",15.400817641562933,Cook_Inlet,57.73177484050624,9.999999999999999e-6,38.96913914455873,2.330064285691641,34.6556931,5.800053679843419,0,0.190315117907017,25.9311409,AwcHuc12_wtd_lcld_mn_2015,410.3971008309343,2015,138.96,-13.989906438165256,385.8813207751797,0.4262918026420459,min,1,0,0,0,1,0,1
Cook_Inlet_75004300002834,190203010307,"SH_p, S_m, DV_p, P_s, K_s, CO_p",12.728004446369932,Cook_Inlet,1815.1770253984641,9.999999999999999e-6,43.069986072423404,3.350988271927016,23.7224293,9.037569871765958,22.868931193987535,16.98116835611041,3.4565737,AwcHuc12_wtd_lcld_mn_2015,489.24271597575404,2015,130.37,-13.989906438165256,458.8515271475765,0.44107851400553455,min,1,1,0,1,1,1,0
Cook_Inlet_75004300004701,190203010401,"S_s, SH_p, P_p, DV_p, PC_p, CO_s, K_s",6.612001856174309,Cook_Inlet,154.66160000960315,0.00238251,29.428768908724653,3.481713577336937,30.37183,5.814374501991386,0,1.337073053988714,21.0267658,AwcHuc12_wtd_lcld_mn_2015,425.6568220607883,2015,109.85,-13.989906438165256,401.1150527345286,0.4985565893165689,min,1,1,0,1,1,1,0
Cook_Inlet_75004300000582,190203010403,"DV_p, P_s, CO_s",4.54855127346668,Cook_Inlet,136.62002540224475,0.00585019,37.234741644056335,4.362936289254127,25.7468033,3.722296530023376,0,1.131928636211371,21.0442066,AwcHuc12_wtd_lcld_mn_2015,419.97795893899706,2015,112.8,-13.989906438165256,399.23286970340723,0.5291298747139546,min,0,0,0,1,1,1,0
Cook_Inlet_75004300002688,190203010404,"SH_p, S_m, DV_p, PC_p, P_s, OU_p, K_s, CO_p",0.017862449499999,Cook_Inlet,2179.44930108934,9.999999999999999e-6,0,1.750321e-9,24.183485,8.29794640830358,19.04662727322732,14.394199158747648,6.5177407,AwcHuc12_wtd_lcld_mn_2015,476.12747427845477,2015,106.77,-13.989906438165256,447.0785459759107,0.34031795239793766,min,1,1,0,1,1,1,0
Cook_Inlet_75004300002654,190203010501,"K_r, CO_r",8.623033280608766,Cook_Inlet,49.31742504792887,0.00617679,106.01834034876775,7.647820654220816,35.2584076,5.717795571262565,0,0,14.7594366,AwcHuc12_wtd_lcld_mn_2015,426.1598415170198,2015,110.3,-13.989906438165256,401.79334257187855,0.4716016876316839,min,1,0,0,0,1,0,1
Cook_Inlet_75004300005478,190203010502,"DV_p, K_p, K_r, CO_r",5.521724563245762,Cook_Inlet,143.2409749368992,0.00169159,49.44945355191257,5.168677702161647,36.9722252,4.760766294425186,0,0.109248826686559,14.739213,AwcHuc12_wtd_lcld_mn_2015,445.84261730418655,2015,74.09,-13.989906438165256,423.2129245633277,0.47787362655865195,min,1,0,0,0,1,0,1
Cook_Inlet_75004300004332,190203010503,"SH_p, P_p, DV_p, CO_s, K_p",0.488940539951757,Cook_Inlet,330.12407476259983,0.00600703,37.624595469255716,5.763670085210084,30.6117153,4.650245149323101,0,0.14012044716303,21.4903469,AwcHuc12_wtd_lcld_mn_2015,434.5449417599698,2015,69.22,-13.989906438165256,412.1158215775096,0.49819448005729794,min,1,0,0,1,1,1,0
Cook_Inlet_75004300003713,190203010601,"K_r, CO_r, SH_p, DV_r, CO_s, K_s, DV_p",23.39952630357033,Cook_Inlet,154.5921499998799,0.00750379,347.4769683590869,7.890736783930235,24.7831573,7.531011357308683,0,0.246489831152968,7.2950768,AwcHuc12_wtd_lcld_mn_2015,462.66067740322745,2015,135.96,-13.989906438165256,435.00357439494337,0.3624038441890754,min,1,0,0,0,1,1,1
Cook_Inlet_75004300002755,190203010602,"CO_r, K_s, K_r",23.14791751842886,Cook_Inlet,97.89967486549521,0.01250382,384.6504115495172,7.819345366398519,37.0654907,6.34022809068746,0,0.085434936130355,1.9697071,AwcHuc12_wtd_lcld_mn_2014,473.74705866730534,2014,271.89,-7.324500500029187,454.91638197080556,0.24033862076308532,min,1,0,0,0,1,1,1
Cook_Inlet_75004300005518,190203010603,"DV_p, CO_s, K_s",13.313858530067742,Cook_Inlet,73.48540011453053,0.01771,193.53094462540696,13.41078199157256,26.4972229,6.897544318865735,0,0.019445619379526,3.2510202,AwcHuc12_wtd_lcld_mn_2015,458.7987799318808,2015,91.5,-13.989906438165256,432.29128593682555,0.4360182267447927,min,1,0,0,0,1,1,0
Cook_Inlet_75004300004365,190203010604,"K_s, CO_s, DV_p, P_p",5.063402115514348,Cook_Inlet,93.16480016218716,0.01624928,61.29923273657295,5.027027366614808,29.8823013,4.096225505447341,0,0.041222798602073,12.9060822,AwcHuc12_wtd_lcld_mn_2015,433.1288654648096,2015,72.62,-13.989906438165256,411.70517403783913,0.46418354077380547,min,1,0,0,1,1,1,0
Cook_Inlet_75004300003311,190203010605,"DV_p, CO_s, P_s, K_p",3.857870693686733,Cook_Inlet,54.63169991116651,0.00699668,55.74652435902477,2.136806425937416,32.7798958,4.645351032396031,0,0.018573209492632,16.7879581,AwcHuc12_wtd_lcld_mn_2015,433.23487582914817,2015,72.16,-13.989906438165256,410.814637436252,0.42520195894947616,min,1,0,0,1,1,1,0
Cook_Inlet_75004300001258,190203010606,"SH_p, DV_p, DV_r, P_s, CO_s, K_r, K_s, CO_r",0.027848372591482,Cook_Inlet,573.2361249602042,9.999999999999999e-6,3,7.8303085e-8,30.3680477,6.326831604375376,0,0.100374034605681,8.5085297,AwcHuc12_wtd_lcld_mn_2015,452.1663533065301,2015,69.9,-13.989906438165256,426.6945824678921,0.36401738289261854,min,1,0,0,1,1,1,1
Cook_Inlet_75004300004452,190203010701,"SH_p, DV_p, CO_s, K_r, K_s",10.692474529759938,Cook_Inlet,161.04567504911114,0.00698696,212.37833737864054,8.013441246033338,24.2375622,7.201485133520398,0,0.011405001654424,2.2532706,AwcHuc12_wtd_lcld_mn_2015,449.1594464683684,2015,113.29,-13.989906438165256,422.1003640262268,0.4309407120256471,min,1,0,0,0,1,1,1
Cook_Inlet_75004300000311,190203010702,"DV_p, DV_r, CO_s, K_r, K_s, CO_r",9.980660369049177,Cook_Inlet,51.8118499666333,0.00759467,197.9405653539501,5.263279657446322,20.9790955,7.823194609421909,0,0,5.0722723,AwcHuc12_wtd_lcld_mn_2015,429.01410508558524,2015,115.43,-13.989906438165256,400.8267511253818,0.41646624723556225,min,1,0,0,0,1,1,1
Cook_Inlet_75004300006376,190203010703,"DV_p, DV_r, CO_r",6.168526762183639,Cook_Inlet,41.63009987831046,0.01043677,178.91072042148866,10.711614117003993,30.7587719,7.614330858284895,0,0.33682680140942,2.9717193,AwcHuc12_wtd_lcld_mn_2015,427.51789973840505,2015,96.79,-13.989906438165256,399.70958941626384,0.396113051794155,min,0,0,0,0,1,0,1
Cook_Inlet_75004300001228,190203010704,"K_s, CO_s, DV_p, SH_p",5.799230922228704,Cook_Inlet,97.52492510543141,0.00171255,78.15356754799005,4.259545063364569,27.3086815,4.940811215097872,0,0.035413476407367,18.4821701,AwcHuc12_wtd_lcld_mn_2015,414.93893384166233,2015,69.09,-13.989906438165256,391.9824975592608,0.43337101427331176,min,1,0,0,0,1,1,0
Cook_Inlet_75004300001162,190203010705,"DV_p, K_s, P_s, SH_p, CO_s, DV_r",1.761201371416644,Cook_Inlet,183.04649992363997,0.008030240000000001,40.46286472148535,4.43813211579457,23.8890591,4.953287749293918,0,0.133111553094275,20.3008213,AwcHuc12_wtd_lcld_mn_2015,417.07465942771614,2015,64.61,-13.989906438165256,394.09558086829753,0.48152506610342655,min,1,0,0,1,1,1,1
Cook_Inlet_75004300002197,190203010706,"SH_p, S_p, CH_p, P_p, DV_p, CO_s, K_r, K_s, CO_r",0.040978759000707,Cook_Inlet,584.6291247182563,9.999999999999999e-6,4.240506329113925,0.805437631226853,24.8101139,6.260647366784433,0,0.101124146167042,11.660037,AwcHuc12_wtd_lcld_mn_2015,426.6401881857195,2015,61.84,-13.989906438165256,401.2885277734349,0.38934375616392924,min,1,1,1,1,1,1,1
Cook_Inlet_75004300007259,190203010802,"SH_p, DV_p, P_s, CO_s, K_r, K_s, CO_r",0.190950827484619,Cook_Inlet,136.8928999629107,7.1398e-4,32.5483870967742,10.88558088933179,24.1731586,4.622874248396859,0,0.056083654984951,27.09132,AwcHuc12_wtd_lcld_mn_2015,423.93745020726044,2015,60.73,-13.989906438165256,401.5580024347213,0.4713087978401021,min,1,0,0,1,1,1,1
Cook_Inlet_75004300005952,190203010804,"CO_s, DV_p, P_s, S_s",0.267635765451003,Cook_Inlet,92.03877515617427,0.00390454,3.793493635077795,0.951950845939685,14.8177681,8.450483662331683,0,3.427906526717102,19.8559322,AwcHuc12_wtd_lcld_mn_2015,441.5547642680761,2015,198.32999999999998,-13.989906438165256,412.2290130348316,0.32252940243866807,min,0,1,0,1,1,1,0
Cook_Inlet_75004300005625,190203010805,P_s,0.131616483136947,Cook_Inlet,36.94955006497458,0.0338078,17.736231884057972,6.876915519030477,20.7101383,7.743728796049879,0,0.250686463251545,6.6088414,AwcHuc12_wtd_lcld_mn_2015,405.50753867466966,2015,155.05,-13.989906438165256,377.4643983984499,0.21006568972394063,min,0,0,0,1,0,1,0
Cook_Inlet_75004300007473,190203010807,"P_s, CO_r",0.199070637683035,Cook_Inlet,14.979999898113174,0.00220884,7.513122656668455,2.822689532494313,9.8495922,8.116663128285229,0,4.476015738333274,15.8144903,AwcHuc12_wtd_lcld_mn_2015,403.3401042164115,2015,130.1,-13.989906438165256,374.6201668163286,0.3054988417767629,min,0,0,0,1,1,1,1
