OID_,AwcHuc12_non_north_area,AwcHuc12_north_area,region,AwcHuc12_wtd_north_per,cat_ID_txt,cat_ID_con
155,163651100.000000000000000,34596600.000000000000000,Cook_Inlet,17.4511986,75004400010221,Cook_Inlet_75004400010221
156,207400500.000000000000000,66811900.000000000000000,Cook_Inlet,24.3650169,75004400003876,Cook_Inlet_75004400003876
157,180301300.000000000000000,62116800.000000000000000,Cook_Inlet,25.6238289,75004400009792,Cook_Inlet_75004400009792
158,21137900.000000000000000,11993600.000000000000000,Cook_Inlet,36.1999893,75004400001670,Cook_Inlet_75004400001670
159,320338700.000000000000000,128802700.000000000000000,Cook_Inlet,28.6775398,75004400003165,Cook_Inlet_75004400003165
160,305949500.000000000000000,104639000.000000000000000,Cook_Inlet,25.4851265,75004400000627,Cook_Inlet_75004400000627
161,220765400.000000000000000,65096800.000000000000000,Cook_Inlet,22.7720909,75004400009412,Cook_Inlet_75004400009412
162,38049800.000000000000000,6956300.000000000000000,Cook_Inlet,15.4563494,75004400005344,Cook_Inlet_75004400005344
163,239237200.000000000000000,80584500.000000000000000,Cook_Inlet,25.1966953,75004400008192,Cook_Inlet_75004400008192
164,152161500.000000000000000,43954900.000000000000000,Cook_Inlet,22.4126587,75004400002258,Cook_Inlet_75004400002258
165,551374200.000000000000000,141595500.000000000000000,Cook_Inlet,20.4331436,75004400010422,Cook_Inlet_75004400010422
166,52492800.000000000000000,13756000.000000000000000,Cook_Inlet,20.7641506,75004400001443,Cook_Inlet_75004400001443
167,23785300.000000000000000,6268300.000000000000000,Cook_Inlet,20.8570690,75004400001656,Cook_Inlet_75004400001656
168,64131500.000000000000000,19855200.000000000000000,Cook_Inlet,23.6408863,75004400002041,Cook_Inlet_75004400002041
169,40815500.000000000000000,14708000.000000000000000,Cook_Inlet,26.4896851,75004400011322,Cook_Inlet_75004400011322
170,246836600.000000000000000,75506000.000000000000000,Cook_Inlet,23.4241447,75004400007550,Cook_Inlet_75004400007550
171,117098200.000000000000000,39209200.000000000000000,Cook_Inlet,25.0846729,75004400004850,Cook_Inlet_75004400004850
172,240976600.000000000000000,60496800.000000000000000,Cook_Inlet,20.0670433,75004400008859,Cook_Inlet_75004400008859
173,92616200.000000000000000,31521900.000000000000000,Cook_Inlet,25.3926067,75004400009331,Cook_Inlet_75004400009331
174,419693100.000000000000000,106866500.000000000000000,Cook_Inlet,20.2952328,75004400000153,Cook_Inlet_75004400000153
175,4105331900.000000000000000,1365196900.000000000000000,Cook_Inlet,24.9554825,75004400010386,Cook_Inlet_75004400010386
176,57172600.000000000000000,10428000.000000000000000,Cook_Inlet,15.4258986,75004400009308,Cook_Inlet_75004400009308
177,36662200.000000000000000,9113100.000000000000000,Cook_Inlet,19.9083347,75004400003815,Cook_Inlet_75004400003815
178,208771000.000000000000000,73801700.000000000000000,Cook_Inlet,26.1177750,75004400007996,Cook_Inlet_75004400007996
179,55530700.000000000000000,13049400.000000000000000,Cook_Inlet,19.0279694,75004400010639,Cook_Inlet_75004400010639
180,94775200.000000000000000,24225800.000000000000000,Cook_Inlet,20.3576431,75004400001521,Cook_Inlet_75004400001521
181,61945600.000000000000000,14967300.000000000000000,Cook_Inlet,19.4600639,75004400010351,Cook_Inlet_75004400010351
182,14071800.000000000000000,4109000.000000000000000,Cook_Inlet,22.6007652,75004400004166,Cook_Inlet_75004400004166
183,33038900.000000000000000,11173000.000000000000000,Cook_Inlet,25.2714767,75004400000141,Cook_Inlet_75004400000141
184,97107200.000000000000000,22842200.000000000000000,Cook_Inlet,19.0431957,75004400002954,Cook_Inlet_75004400002954
185,55077200.000000000000000,17232500.000000000000000,Cook_Inlet,23.8315201,75004400007686,Cook_Inlet_75004400007686
186,162340200.000000000000000,54591600.000000000000000,Cook_Inlet,25.1653290,75004400004707,Cook_Inlet_75004400004707
187,231981900.000000000000000,120531500.000000000000000,Cook_Inlet,34.1920319,75004400007493,Cook_Inlet_75004400007493
188,71969100.000000000000000,27925600.000000000000000,Cook_Inlet,27.9550362,75004400010627,Cook_Inlet_75004400010627
189,116595400.000000000000000,47651800.000000000000000,Cook_Inlet,29.0122452,75004400004344,Cook_Inlet_75004400004344
190,43591600.000000000000000,17390000.000000000000000,Cook_Inlet,28.5167980,75004400004213,Cook_Inlet_75004400004213
191,67745600.000000000000000,29211700.000000000000000,Cook_Inlet,30.1284180,75004400007351,Cook_Inlet_75004400007351
192,84603200.000000000000000,24264000.000000000000000,Cook_Inlet,22.2877045,75004400002957,Cook_Inlet_75004400002957
193,87699800.000000000000000,23055500.000000000000000,Cook_Inlet,20.8166103,75004400000171,Cook_Inlet_75004400000171
194,327264200.000000000000000,119176300.000000000000000,Cook_Inlet,26.6947784,75000100004048,Cook_Inlet_75000100004048
195,157612400.000000000000000,42941600.000000000000000,Cook_Inlet,21.4114895,75000100001396,Cook_Inlet_75000100001396
196,62888700.000000000000000,19935500.000000000000000,Cook_Inlet,24.0696564,75000100001872,Cook_Inlet_75000100001872
197,51460100.000000000000000,5213900.000000000000000,Cook_Inlet,9.1998091,75000100002482,Cook_Inlet_75000100002482
198,190863500.000000000000000,43115300.000000000000000,Cook_Inlet,18.4270115,75000100004383,Cook_Inlet_75000100004383
199,28461200.000000000000000,12428200.000000000000000,Cook_Inlet,30.3946743,75000100001880,Cook_Inlet_75000100001880
200,248720300.000000000000000,70771300.000000000000000,Cook_Inlet,22.1512241,75000100002463,Cook_Inlet_75000100002463
201,155421900.000000000000000,37708800.000000000000000,Cook_Inlet,19.5250168,75000100001262,Cook_Inlet_75000100001262
202,292884300.000000000000000,112000400.000000000000000,Cook_Inlet,27.6622944,75000100003972,Cook_Inlet_75000100003972
203,164567900.000000000000000,61920900.000000000000000,Cook_Inlet,27.3394985,75000100000252,Cook_Inlet_75000100000252
204,352653100.000000000000000,78867200.000000000000000,Cook_Inlet,18.2765903,75000100003757,Cook_Inlet_75000100003757
205,28641700.000000000000000,14356700.000000000000000,Cook_Inlet,33.3889160,75000100002688,Cook_Inlet_75000100002688
206,55283800.000000000000000,22393100.000000000000000,Cook_Inlet,28.8285198,75000100001892,Cook_Inlet_75000100001892
207,121728500.000000000000000,16824500.000000000000000,Cook_Inlet,12.1430063,75000100001538,Cook_Inlet_75000100001538
208,86381400.000000000000000,17046500.000000000000000,Cook_Inlet,16.4815292,75000100001408,Cook_Inlet_75000100001408
209,150668400.000000000000000,59887900.000000000000000,Cook_Inlet,28.4427013,75000100001685,Cook_Inlet_75000100001685
210,43947400.000000000000000,15895500.000000000000000,Cook_Inlet,26.5620480,75000100004381,Cook_Inlet_75000100004381
211,261524400.000000000000000,61638700.000000000000000,Cook_Inlet,19.0735569,75000100000652,Cook_Inlet_75000100000652
212,39863900.000000000000000,13283300.000000000000000,Cook_Inlet,24.9934139,75000100003787,Cook_Inlet_75000100003787
213,59908700.000000000000000,19591500.000000000000000,Cook_Inlet,24.6433334,75000100002741,Cook_Inlet_75000100002741
214,134938800.000000000000000,19538400.000000000000000,Cook_Inlet,12.6480799,75000100003438,Cook_Inlet_75000100003438
215,437829300.000000000000000,165247500.000000000000000,Cook_Inlet,27.4007397,75000100001315,Cook_Inlet_75000100001315
216,6332850200.000000000000000,2306484200.000000000000000,Cook_Inlet,26.6974754,75000100000409,Cook_Inlet_75000100000409
217,198669800.000000000000000,81766300.000000000000000,Cook_Inlet,29.1568375,75000100002858,Cook_Inlet_75000100002858
