cat_ID_con,region,wtd_AreaSqKm,str_ord,str_slope,str_slope_dg,HUC12
Cook_Inlet_75000400024244,Cook_Inlet,3068.705425,6,0.00110243,0.063164561,1.90204E+11
Cook_Inlet_75000400009643,Cook_Inlet,130.4744249,4,0.03442413,1.971578821,1.90204E+11
Cook_Inlet_75000400005921,Cook_Inlet,988.8608499,7,0.00811347,0.464857388,1.90204E+11
Cook_Inlet_75000400001221,Cook_Inlet,2998.689025,8,0.00359799,0.206148752,1.90204E+11
Cook_Inlet_75000400034853,Cook_Inlet,53.28772504,4,0.05386732,3.083390048,1.90204E+11
Cook_Inlet_75000400035016,Cook_Inlet,149.8601999,5,0.02745248,1.572516284,1.90204E+11
Cook_Inlet_75000700031594,Cook_Inlet,368.379275,5,0.00629761,0.360821704,1.90205E+11
Cook_Inlet_75000700038756,Cook_Inlet,16338.0012,7,1.00E-05,0.000572958,1.90205E+11
Cook_Inlet_75000700036533,Cook_Inlet,385.9076749,5,0.0212625,1.218067974,1.90205E+11
Cook_Inlet_75000700036401,Cook_Inlet,166.5778499,4,0.02019922,1.157172694,1.90205E+11
Cook_Inlet_75000700033509,Cook_Inlet,16319.94768,3,0.00202561,0.116058745,1.90205E+11
Cook_Inlet_75000700031070,Cook_Inlet,60.68352493,3,0.05991823,3.42896207,1.90205E+11
Cook_Inlet_75000700036133,Cook_Inlet,430.6973,5,0.01048118,0.600505389,1.90205E+11
Cook_Inlet_75000700036713,Cook_Inlet,12315.16753,7,0.00093523,0.053584716,1.90205E+11
Cook_Inlet_75000700049611,Cook_Inlet,14751.2106,7,0.00570045,0.326608189,1.90205E+11
Cook_Inlet_75000700036219,Cook_Inlet,15988.67828,7,1.00E-05,0.000572958,1.90205E+11
Cook_Inlet_75000700049477,Cook_Inlet,220.62725,4,0.00908715,0.520641012,1.90205E+11
Cook_Inlet_75000700036340,Cook_Inlet,95.56124996,4,0.06361075,3.639723621,1.90205E+11
Cook_Inlet_75000700041984,Cook_Inlet,461.3446251,5,0.00035321,0.020237441,1.90205E+11
Cook_Inlet_75000700044263,Cook_Inlet,14992.22578,7,0.0020794,0.119140672,1.90205E+11
Cook_Inlet_75000700049829,Cook_Inlet,124.3212999,4,0.03116821,1.785228946,1.90205E+11
Cook_Inlet_75000700049481,Cook_Inlet,15581.36503,7,0.00264541,0.151570475,1.90205E+11
Cook_Inlet_75000700031053,Cook_Inlet,41.17950001,4,0.04593953,2.630291864,1.90205E+11
Cook_Inlet_75000700036399,Cook_Inlet,84.82847512,4,0.02688915,1.540263664,1.90205E+11
Cook_Inlet_75000700041653,Cook_Inlet,193.678275,4,0.03078034,1.763026933,1.90205E+11
Cook_Inlet_75000700036455,Cook_Inlet,14449.4428,7,0.00264822,0.151731475,1.90205E+11
