OID_,cat_ID_txt,O1Region,AwcHuc12_wtd_glacier_area_sqm,AwcHuc12_wtd_glacier_per,region,cat_ID,cat_ID_con
263,75000600015299, 1,568001963.706927776336670,23.216550552148245,Cook_Inlet,75000600015299,Cook_Inlet_75000600015299
264,75000600015366, 1,634601585.716576933860779,14.802233367400888,Cook_Inlet,75000600015366,Cook_Inlet_75000600015366
265,75000600015375, 1,889988135.723012089729309,27.104997755474468,Cook_Inlet,75000600015375,Cook_Inlet_75000600015375
266,75000600015432, 1,460529.426979104522616,0.707305479271751,Cook_Inlet,75000600015432,Cook_Inlet_75000600015432
267,75000600016382, 1,7316432.775640981271863,1.097829203529018,Cook_Inlet,75000600016382,Cook_Inlet_75000600016382
268,75000600018150, 1,10974145.019451983273029,7.558983183280474,Cook_Inlet,75000600018150,Cook_Inlet_75000600018150
269,75000600018822, 1,92124.701760300828028,0.101717810137984,Cook_Inlet,75000600018822,Cook_Inlet_75000600018822
270,75000600018999, 1,427339511.018622934818268,33.968389506170261,Cook_Inlet,75000600018999,Cook_Inlet_75000600018999
271,75000600019183, 1,1224295.201397986151278,1.363143650360812,Cook_Inlet,75000600019183,Cook_Inlet_75000600019183
272,75000600019578, 1,49351757.572995528578758,3.888401230934584,Cook_Inlet,75000600019578,Cook_Inlet_75000600019578
273,75000600020024, 1,32080303.566749799996614,13.860633065626837,Cook_Inlet,75000600020024,Cook_Inlet_75000600020024
274,75000600020073, 1,636282037.251082062721252,10.432633587126208,Cook_Inlet,75000600020073,Cook_Inlet_75000600020073
275,75000600020386, 1,2164623232.912662982940674,13.791018464954060,Cook_Inlet,75000600020386,Cook_Inlet_75000600020386
276,75000600020425, 1,24028030.794268157333136,26.492422152127993,Cook_Inlet,75000600020425,Cook_Inlet_75000600020425
277,75000600021711, 1,173466422.397138655185699,12.800958511080129,Cook_Inlet,75000600021711,Cook_Inlet_75000600021711
278,75000600022522, 1,18347849.433901630342007,2.013903151207722,Cook_Inlet,75000600022522,Cook_Inlet_75000600022522
279,75000600023013, 1,48883987.158068403601646,8.301699919124527,Cook_Inlet,75000600023013,Cook_Inlet_75000600023013
280,75000600023457, 1,49351757.572995528578758,6.542322673024360,Cook_Inlet,75000600023457,Cook_Inlet_75000600023457
281,75000600025547, 1,2164623232.912663936614990,13.639060132331322,Cook_Inlet,75000600025547,Cook_Inlet_75000600025547
282,75000600026326, 1,3928131.631690336391330,3.979237978414123,Cook_Inlet,75000600026326,Cook_Inlet_75000600026326
283,75000600026866, 1,23032802.732523117214441,23.652710690596518,Cook_Inlet,75000600026866,Cook_Inlet_75000600026866
284,75000600027457, 1,46914705.442719861865044,12.591413239684504,Cook_Inlet,75000600027457,Cook_Inlet_75000600027457
285,75000600027807, 1,174187035.412799835205078,26.118890190090667,Cook_Inlet,75000600027807,Cook_Inlet_75000600027807
286,75000600029034, 1,889988135.723011970520020,30.281896598106517,Cook_Inlet,75000600029034,Cook_Inlet_75000600029034
287,75000600029695, 1,6713514.947877902537584,8.068350313496198,Cook_Inlet,75000600029695,Cook_Inlet_75000600029695
288,75000600029800, 1,456156.333107169717550,0.041795967732989,Cook_Inlet,75000600029800,Cook_Inlet_75000600029800
289,75000600030572, 1,568001963.706927776336670,36.810576377131483,Cook_Inlet,75000600030572,Cook_Inlet_75000600030572
290,75000600030807, 1,77632514.803218364715576,18.390111878760987,Cook_Inlet,75000600030807,Cook_Inlet_75000600030807
291,75000600031834, 1,20757758.579856097698212,10.655367437809156,Cook_Inlet,75000600031834,Cook_Inlet_75000600031834
292,75000600031902, 1,4972411.108605884946883,2.799572951648486,Cook_Inlet,75000600031902,Cook_Inlet_75000600031902
293,75000600034770, 1,889988135.723011732101440,27.158712060482031,Cook_Inlet,75000600034770,Cook_Inlet_75000600034770
294,75000600035221, 1,534641896.158218502998352,64.797885770554217,Cook_Inlet,75000600035221,Cook_Inlet_75000600035221
295,75000600035585, 1,568001963.706928014755249,23.155120424752297,Cook_Inlet,75000600035585,Cook_Inlet_75000600035585
296,75000600035645, 1,2164623232.912666320800781,13.719365052421423,Cook_Inlet,75000600035645,Cook_Inlet_75000600035645
297,75000600035669, 1,37441.023527273435320,0.056185779457485,Cook_Inlet,75000600035669,Cook_Inlet_75000600035669
298,75000600036475, 1,138907109.585745215415955,15.516275936193530,Cook_Inlet,75000600036475,Cook_Inlet_75000600036475
299,75000600039012, 1,689892817.221388578414917,42.201996171454084,Cook_Inlet,75000600039012,Cook_Inlet_75000600039012
300,75000600039124, 1,200095318.501623213291168,16.794848392467358,Cook_Inlet,75000600039124,Cook_Inlet_75000600039124
301,75000600040122, 1,889988135.723011970520020,24.963855872342318,Cook_Inlet,75000600040122,Cook_Inlet_75000600040122
302,75000600040339, 1,9144513.648649882525206,1.229951310610573,Cook_Inlet,75000600040339,Cook_Inlet_75000600040339
303,75000600040518, 1,568001963.706927895545959,44.651435920652524,Cook_Inlet,75000600040518,Cook_Inlet_75000600040518
304,75000600040519, 1,568001963.706927657127380,35.302188875951877,Cook_Inlet,75000600040519,Cook_Inlet_75000600040519
305,75000700031253, 1,676744180.175915837287903,4.864923055768446,Cook_Inlet,75000700031253,Cook_Inlet_75000700031253
306,75000700032275, 1,8848405.821073060855269,0.616532981254486,Cook_Inlet,75000700032275,Cook_Inlet_75000700032275
307,75000700033509, 1,676744180.175915360450745,4.146730085423099,Cook_Inlet,75000700033509,Cook_Inlet_75000700033509
308,75000700036133, 1,7688848.507862376980484,1.785209359038982,Cook_Inlet,75000700036133,Cook_Inlet_75000700036133
309,75000700036219, 1,676744180.175916075706482,4.232646179566385,Cook_Inlet,75000700036219,Cook_Inlet_75000700036219
310,75000700036455, 1,676744180.175915598869324,4.683531327329899,Cook_Inlet,75000700036455,Cook_Inlet_75000700036455
311,75000700036713, 1,676744180.175915598869324,5.495208885935146,Cook_Inlet,75000700036713,Cook_Inlet_75000700036713
312,75000700038756, 1,676744180.175915718078613,4.142147940121504,Cook_Inlet,75000700038756,Cook_Inlet_75000700038756
313,75000700039998, 1,676744180.175915479660034,6.353445003448591,Cook_Inlet,75000700039998,Cook_Inlet_75000700039998
314,75000700044263, 1,676744180.175915718078613,4.513967374351453,Cook_Inlet,75000700044263,Cook_Inlet_75000700044263
315,75000700045019, 1,676744180.175915956497192,6.223707817084303,Cook_Inlet,75000700045019,Cook_Inlet_75000700045019
316,75000700046720, 1,676744180.175915479660034,4.187271301755011,Cook_Inlet,75000700046720,Cook_Inlet_75000700046720
317,75000700049481, 1,676744180.175915718078613,4.343291997085199,Cook_Inlet,75000700049481,Cook_Inlet_75000700049481
318,75000700049611, 1,676744180.175915598869324,4.587719601575869,Cook_Inlet,75000700049611,Cook_Inlet_75000700049611
319,75004200000064, 1,7436689.133984245359898,7.653851842945242,Cook_Inlet,75004200000064,Cook_Inlet_75004200000064
320,75004200000478, 1,5428092.292485854588449,29.459314590359593,Cook_Inlet,75004200000478,Cook_Inlet_75004200000478
321,75004200000722, 1,13278411.942441893741488,27.621910992088019,Cook_Inlet,75004200000722,Cook_Inlet_75004200000722
322,75004200000726, 1,34812229.481214433908463,52.335779177741934,Cook_Inlet,75004200000726,Cook_Inlet_75004200000726
323,75004200000901, 1,1350380.222947581671178,3.653371591768066,Cook_Inlet,75004200000901,Cook_Inlet_75004200000901
324,75004200001047, 1,193131.785363699716982,1.607810331591196,Cook_Inlet,75004200001047,Cook_Inlet_75004200001047
325,75004200001167, 1,28028537.116668928414583,35.132461156874363,Cook_Inlet,75004200001167,Cook_Inlet_75004200001167
