OID_,cat_ID_con,cat_ID,cat_ID_txt,NHDPlusID,region,AwcHuc12_wtd_elev_MIN,AwcHuc12_wtd_elev_MAX,AwcHuc12_wtd_elev_MEAN,AwcHuc12_wtd_elev_STD
40,Cook_Inlet_75004200005283,75004200005283.000000000000000,75004200005283,75004200005283.000000000000000,Cook_Inlet,0,913,433.837975733690712,196.323301593711250
41,Cook_Inlet_75004200005907,75004200005907.000000000000000,75004200005907,75004200005907.000000000000000,Cook_Inlet,1,1026,298.520720720720647,249.797191463810350
42,Cook_Inlet_75004300004332,75004300004332.000000000000000,75004300004332,75004300004332.000000000000000,Cook_Inlet,3,629,202.572861747591162,144.506284759410363
43,Cook_Inlet_75004300005723,75004300005723.000000000000000,75004300005723,75004300005723.000000000000000,Cook_Inlet,0,1275,626.388342493717914,263.975529136210071
44,Cook_Inlet_75004300006970,75004300006970.000000000000000,75004300006970,75004300006970.000000000000000,Cook_Inlet,0,2003,584.772398299440624,479.482884900144597
45,Cook_Inlet_75004300002057,75004300002057.000000000000000,75004300002057,75004300002057.000000000000000,Cook_Inlet,76,1649,568.203350562562150,372.980591204928714
46,Cook_Inlet_75004300005518,75004300005518.000000000000000,75004300005518,75004300005518.000000000000000,Cook_Inlet,145,722,461.661957034987211,104.906452809053150
47,Cook_Inlet_75004300004701,75004300004701.000000000000000,75004300004701,75004300004701.000000000000000,Cook_Inlet,5,697,202.012970831953623,160.792371957768609
48,Cook_Inlet_75004300004365,75004300004365.000000000000000,75004300004365,75004300004365.000000000000000,Cook_Inlet,41,570,252.875725487461182,118.464447921893338
49,Cook_Inlet_75004300006839,75004300006839.000000000000000,75004300006839,75004300006839.000000000000000,Cook_Inlet,4,1577,858.624550929275188,375.912163322058973
50,Cook_Inlet_75004300007978,75004300007978.000000000000000,75004300007978,75004300007978.000000000000000,Cook_Inlet,2,1659,744.778838246724149,443.869353855853262
51,Cook_Inlet_75004300007859,75004300007859.000000000000000,75004300007859,75004300007859.000000000000000,Cook_Inlet,4,1272,474.267046086128119,324.586015962524698
52,Cook_Inlet_75004300005004,75004300005004.000000000000000,75004300005004,75004300005004.000000000000000,Cook_Inlet,0,1747,769.294493738588699,376.593322264777441
53,Cook_Inlet_75004300005103,75004300005103.000000000000000,75004300005103,75004300005103.000000000000000,Cook_Inlet,34,1262,542.268495362445151,232.989516687956097
54,Cook_Inlet_75004300000311,75004300000311.000000000000000,75004300000311,75004300000311.000000000000000,Cook_Inlet,176,600,374.325129171160768,97.373943925316638
55,Cook_Inlet_75004300008012,75004300008012.000000000000000,75004300008012,75004300008012.000000000000000,Cook_Inlet,1,1575,680.684227623118659,371.375269201662775
56,Cook_Inlet_75004300001135,75004300001135.000000000000000,75004300001135,75004300001135.000000000000000,Cook_Inlet,0,978,235.562422698971716,194.653190903878510
57,Cook_Inlet_75004300007259,75004300007259.000000000000000,75004300007259,75004300007259.000000000000000,Cook_Inlet,3,594,197.349477407401963,148.255389171425549
58,Cook_Inlet_75004300001162,75004300001162.000000000000000,75004300001162,75004300001162.000000000000000,Cook_Inlet,7,569,221.033518478757259,128.515313223712923
59,Cook_Inlet_75004300002654,75004300002654.000000000000000,75004300002654,75004300002654.000000000000000,Cook_Inlet,73,506,226.662090207147799,75.967337785847434
60,Cook_Inlet_75004300006302,75004300006302.000000000000000,75004300006302,75004300006302.000000000000000,Cook_Inlet,0,919,276.162489707663497,195.683633579847452
61,Cook_Inlet_75004300002547,75004300002547.000000000000000,75004300002547,75004300002547.000000000000000,Cook_Inlet,6,1081,494.787758365762272,223.438883847472397
62,Cook_Inlet_75004300006726,75004300006726.000000000000000,75004300006726,75004300006726.000000000000000,Cook_Inlet,20,1291,432.977198240996699,315.983671606887867
63,Cook_Inlet_75004300003713,75004300003713.000000000000000,75004300003713,75004300003713.000000000000000,Cook_Inlet,282,889,500.867705780265453,102.345291938353469
64,Cook_Inlet_75004300002688,75004300002688.000000000000000,75004300002688,75004300002688.000000000000000,Cook_Inlet,0,2005,504.015462978560436,509.607922741660445
65,Cook_Inlet_75004300000754,75004300000754.000000000000000,75004300000754,75004300000754.000000000000000,Cook_Inlet,34,298,129.078577590238353,67.158407432461004
66,Cook_Inlet_75004300003311,75004300003311.000000000000000,75004300003311,75004300003311.000000000000000,Cook_Inlet,27,596,280.709695722841218,150.392214981078638
67,Cook_Inlet_75004300002834,75004300002834.000000000000000,75004300002834,75004300002834.000000000000000,Cook_Inlet,29,2005,577.276273307446900,525.686459723590247
68,Cook_Inlet_75004300001258,75004300001258.000000000000000,75004300001258,75004300001258.000000000000000,Cook_Inlet,3,889,407.458829033751044,181.211827238891260
69,Cook_Inlet_75004300007331,75004300007331.000000000000000,75004300007331,75004300007331.000000000000000,Cook_Inlet,2,926,336.864299377254781,194.534155486847681
70,Cook_Inlet_75004300001638,75004300001638.000000000000000,75004300001638,75004300001638.000000000000000,Cook_Inlet,0,435,142.943739341924811,101.138459345756488
71,Cook_Inlet_75004300002755,75004300002755.000000000000000,75004300002755,75004300002755.000000000000000,Cook_Inlet,282,889,591.213521652176269,108.611645842256593
72,Cook_Inlet_75004300005625,75004300005625.000000000000000,75004300005625,75004300005625.000000000000000,Cook_Inlet,5,495,238.007740084707279,111.750743549879857
73,Cook_Inlet_75004300006594,75004300006594.000000000000000,75004300006594,75004300006594.000000000000000,Cook_Inlet,0,1602,653.640638009709846,357.844688487868893
74,Cook_Inlet_75004300006376,75004300006376.000000000000000,75004300006376,75004300006376.000000000000000,Cook_Inlet,109,495,317.601439858178878,65.835097231442845
75,Cook_Inlet_75004300004090,75004300004090.000000000000000,75004300004090,75004300004090.000000000000000,Cook_Inlet,34,1890,1022.634590725432759,383.286293897253870
76,Cook_Inlet_75004300002183,75004300002183.000000000000000,75004300002183,75004300002183.000000000000000,Cook_Inlet,0,760,233.596290803203772,178.234671975200882
77,Cook_Inlet_75004300006207,75004300006207.000000000000000,75004300006207,75004300006207.000000000000000,Cook_Inlet,0,1055,450.236428279406198,265.518902638217298
78,Cook_Inlet_75004300002023,75004300002023.000000000000000,75004300002023,75004300002023.000000000000000,Cook_Inlet,15,2003,646.110474228366456,481.103422177827838
79,Cook_Inlet_75004300004018,75004300004018.000000000000000,75004300004018,75004300004018.000000000000000,Cook_Inlet,33,287,137.362462613564276,45.846489242690687
80,Cook_Inlet_75004300000582,75004300000582.000000000000000,75004300000582,75004300000582.000000000000000,Cook_Inlet,1,398,119.403993781400303,72.026812013194458
81,Cook_Inlet_75004300005478,75004300005478.000000000000000,75004300005478,75004300005478.000000000000000,Cook_Inlet,41,629,295.744683762299701,160.053286356629258
82,Cook_Inlet_75004300008120,75004300008120.000000000000000,75004300008120,75004300008120.000000000000000,Cook_Inlet,131,1367,661.012154116421925,200.929762980512407
83,Cook_Inlet_75004300000022,75004300000022.000000000000000,75004300000022,75004300000022.000000000000000,Cook_Inlet,79,2003,1025.447726706921458,420.368461093579128
84,Cook_Inlet_75004300002181,75004300002181.000000000000000,75004300002181,75004300002181.000000000000000,Cook_Inlet,18,964,380.479403417669857,158.133876473650389
85,Cook_Inlet_75004300002027,75004300002027.000000000000000,75004300002027,75004300002027.000000000000000,Cook_Inlet,14,1781,706.532022304954467,501.951639565177004
86,Cook_Inlet_75004300006012,75004300006012.000000000000000,75004300006012,75004300006012.000000000000000,Cook_Inlet,55,815,366.894016649183982,172.438378536804720
87,Cook_Inlet_75004300002197,75004300002197.000000000000000,75004300002197,75004300002197.000000000000000,Cook_Inlet,2,621,289.744517586808570,143.334747508682796
88,Cook_Inlet_75004300005952,75004300005952.000000000000000,75004300005952,75004300005952.000000000000000,Cook_Inlet,2,771,400.516457607873235,120.973554809008121
89,Cook_Inlet_75004300001228,75004300001228.000000000000000,75004300001228,75004300001228.000000000000000,Cook_Inlet,68,526,212.559874120839311,90.781622794082551
90,Cook_Inlet_75004300006149,75004300006149.000000000000000,75004300006149,75004300006149.000000000000000,Cook_Inlet,31,2005,1089.157776915989416,363.347402914354859
91,Cook_Inlet_75004300004452,75004300004452.000000000000000,75004300004452,75004300004452.000000000000000,Cook_Inlet,176,621,421.668654091783708,90.685015448044766
92,Cook_Inlet_75004300007473,75004300007473.000000000000000,75004300007473,75004300007473.000000000000000,Cook_Inlet,2,433,119.571234970925104,129.654853695550855
93,Cook_Inlet_75004300004989,75004300004989.000000000000000,75004300004989,75004300004989.000000000000000,Cook_Inlet,0,2003,730.667344822065502,491.249330431236331
94,Cook_Inlet_75004300004326,75004300004326.000000000000000,75004300004326,75004300004326.000000000000000,Cook_Inlet,1,1166,492.134815715965260,229.712691939963037
