cat_ID_con,NhdAwcH12_wtd_lcld_mn_2001_x,NhdAwcH12_wtd_lcld_mn_2002_x,NhdAwcH12_wtd_lcld_mn_2003_x,NhdAwcH12_wtd_lcld_mn_2004_x,NhdAwcH12_wtd_lcld_mn_2005_x,NhdAwcH12_wtd_lcld_mn_2006_x,NhdAwcH12_wtd_lcld_mn_2007_x,NhdAwcH12_wtd_lcld_mn_2008_x,NhdAwcH12_wtd_lcld_mn_2009_x,NhdAwcH12_wtd_lcld_mn_2010_x,NhdAwcH12_wtd_lcld_mn_2011_x,NhdAwcH12_wtd_lcld_mn_2012_x,NhdAwcH12_wtd_lcld_mn_2013_x,NhdAwcH12_wtd_lcld_mn_2014_x,NhdAwcH12_wtd_lcld_mn_2015_x,NhdAwcH12_wtd_lcld_mn_2016_x,NhdAwcH12_wtd_lcld_mn_2017_x,NhdAwcH12_wtd_lcld_mn_2018_x,NhdAwcH12_wtd_lcld_mn_2019_x,NhdAwcH12_wtd_lcld_mn_2001_y,NhdAwcH12_wtd_lcld_mn_2002_y,NhdAwcH12_wtd_lcld_mn_2003_y,NhdAwcH12_wtd_lcld_mn_2004_y,NhdAwcH12_wtd_lcld_mn_2005_y,NhdAwcH12_wtd_lcld_mn_2006_y,NhdAwcH12_wtd_lcld_mn_2007_y,NhdAwcH12_wtd_lcld_mn_2008_y,NhdAwcH12_wtd_lcld_mn_2009_y,NhdAwcH12_wtd_lcld_mn_2010_y,NhdAwcH12_wtd_lcld_mn_2011_y,NhdAwcH12_wtd_lcld_mn_2012_y,NhdAwcH12_wtd_lcld_mn_2013_y,NhdAwcH12_wtd_lcld_mn_2014_y,NhdAwcH12_wtd_lcld_mn_2015_y,NhdAwcH12_wtd_lcld_mn_2016_y,NhdAwcH12_wtd_lcld_mn_2017_y,NhdAwcH12_wtd_lcld_mn_2018_y,NhdAwcH12_wtd_lcld_mn_2019_y
Copper_River_75019800011978,,,,,,,,,,,,,,,,,,,,506.57278926414926,502.04638575791984,499.68776613998574,495.538410884868,495.95031998835833,507.5125830779756,498.22019408917794,500.2709508013493,502.2259127481566,493.47801133991044,505.41213672381485,504.77721679370393,520.9725224096088,499.944005534351,500.28705981017185,488.9397861585675,491.758923623011,508.7779351854277,493.42122762664843
Copper_River_75019800000182,,,,,,,,,,,,,,,,,,,,507.3416178955647,506.68495316473025,503.9566660692008,496.9406029277426,499.2184434232323,507.71533163846664,495.33230773941983,504.1679512150156,505.0545279129717,497.59894219853504,505.7926978250175,507.36866548053683,521.2937761484053,500.9541948491077,499.80866100655925,489.3575458688961,493.19213670366554,512.6333616231282,489.424578035893
Copper_River_75019600181061,,,,,,,,,,,,,,,,,,,,524.9240900630616,510.0494664104719,523.5725668516125,507.86678940128076,519.0051036702047,524.7677596128655,514.4567807579557,515.6123082055434,517.2552368084721,506.6704496994038,510.4365956953498,523.9451435260839,532.1238819097409,529.7076452035682,511.44310597692663,515.6923665590372,506.8867720433583,526.8843209224992,511.2163964304893
Copper_River_75019600185154,,,,,,,,,,,,,,,,,,,,521.4936470152018,507.7497275557923,519.1858916221128,504.2406511304868,513.697080684326,519.259810459258,509.3623991327685,511.2925782340983,513.6221282895599,502.87047527425676,508.1837504733257,519.3071495803429,529.4690296595281,523.6215852293662,508.29524243238893,511.5418424299368,502.5874626249587,523.2600383180805,508.29405441856676
Copper_River_75019600118290,,,,,,,,,,,,,,,,,,,,517.4465182655053,504.5926576149362,512.1040900145022,500.2223318503401,506.07804756602246,513.5004796183439,504.71818718724927,506.02598699924494,508.6219642251304,497.6856414324605,505.28990315800166,514.2022393324445,525.3888741989138,514.6603528319407,504.4622060119482,505.11090515846854,496.92233185412283,519.2794462050155,501.4925536403369
Copper_River_75019600132667,,,,,,,,,,,,,,,,,,,,504.4025456422799,495.19736780416935,496.55964894172183,495.589349398149,487.0941156108395,500.17839774283317,490.0045108786657,490.9435224886119,495.29722119911236,484.08435029369974,495.759097917829,501.07379196809563,516.0476474100304,494.92393211649903,495.4560994266082,490.08261241396906,480.66831582730356,504.9691280880434,491.9943055085152
Copper_River_75019600164515,,,,,,,,,,,,,,,,,,,,504.07352636091235,498.26093176473495,495.23158542619683,493.0617476143884,489.5309639890667,501.59474334883623,495.1399912589892,494.82345802777314,498.801686103341,485.1591724192962,500.158092323785,504.0014331050051,517.7251436956607,496.6812919403622,494.01005902910265,486.4530370422318,489.5238781698475,501.2449985604753,491.2175475750018
Copper_River_75019600132017,,,,,,,,,,,,,,,,,,,,507.5491978984494,497.54564543592454,501.15723050830405,493.2319892846408,490.69612559134714,501.52945645300787,494.10826921599033,493.21921592366016,496.8525633679824,485.9816714504618,495.59404588406284,506.27141959637646,516.6397755814316,497.32080624046955,497.2405077796887,492.92203996284604,483.91071724690465,508.86896401564604,493.6014224680078
Copper_River_75019600178680,,,,,,,,,,,,,,,,,,,,508.51405202787004,499.8947295024514,499.56011028577535,493.60448166188104,493.8685240288275,502.1365382967513,499.80309687305527,495.82112500231096,501.2432335709657,488.00760104909267,504.11202642557265,507.4213071317775,519.0541616751973,501.01788027508275,495.8276709101925,490.23704385724704,490.03188105802826,507.00856882192323,494.7270258963269
Copper_River_75019600118006,,,,,,,,,,,,,,,,,,,,512.2122707108999,502.0963449300141,505.90895214091375,497.28698478150915,500.15751542420276,509.43883735144954,500.9950432113538,500.9481280128347,504.58260655646217,493.7524251786122,503.54462711112166,511.4726509030046,522.317189701862,507.3672119638131,501.29185044945285,497.7271317026851,492.42423258855086,514.2563501650309,497.447957047567
Copper_River_75019600120044,,,,,,,,,,,,,,,,,,,,504.08801353756417,497.34373470098245,496.4646312338309,493.073559904618,489.04485433481926,501.04429101362444,493.8773573213221,492.76882175155293,497.39093517896947,485.0472532481147,498.02626462402844,503.68381208611385,517.0025162457806,495.69072356442285,495.0678903515665,487.6812351480969,486.13627390380674,503.9129772474564,491.66693666738473
Copper_River_75019600201125,,,,,,,,,,,,,,,,,,,,502.98358222407546,497.22620797914885,496.3069843379964,491.83344881263326,489.80726505597187,500.86346028544864,494.75692453287127,490.9760863972873,495.55861184498787,486.26118412281,502.8832316552173,505.45749986386056,516.513192805375,491.5062189825505,495.0895706235656,482.32813019304564,484.6053434053847,503.2639800361619,490.43178177981
Copper_River_75019600169875,,,,,,,,,,,,,,,,,,,,505.80298508329577,499.7877314441618,491.97015497626927,491.9960235681246,492.69429836599636,502.43300264175457,493.0703558311126,492.4406374490355,497.00116765932313,485.48816583086165,502.2115336856643,507.6489745946979,516.9697468764476,494.8943471637003,493.15921993385746,486.28010462460395,488.04109318473644,503.4863867479334,492.6135062166218
Copper_River_75019600118106,,,,,,,,,,,,,,,,,,,,506.2613039396718,498.5250966770763,498.97640251374014,494.0664269161834,492.5579308382488,503.8185964067314,496.17094170312026,495.0526554196546,499.34819555565423,488.1714817481228,500.35092115388017,505.99246760712344,518.5605424314625,498.7950129962166,496.97167779561227,489.7414215178597,487.8353858352931,507.0242562414918,493.2136689646101
