OID_,cat_ID_txt,wtd_slope_ZONE_CODE,wtd_slope_COUNT,wtd_slope_AREA,wtd_slope_MIN,wtd_slope_MAX,wtd_slope_RANGE,wtd_slope_MEAN,wtd_slope_STD,wtd_slope_SUM,wtd_slope_MEDIAN,wtd_slope_PCT90,region,cat_ID_con
126,75000200005413,126,607715.000000000000000,60771500.000000000000000,0.000002181910986,36.146183013916016,36.146180832005030,3.330529991093820,3.895036797552817,2024013.033537580864504,2.853044509887695,8.043159103393554,Cook_Inlet,Cook_Inlet_75000200005413
127,75000200002930,127,2347633.000000000000000,234763300.000000000000000,0.000001910427272,46.071571350097656,46.071569439670384,3.090124239143198,4.012250774141691,7254477.637912463396788,2.441975355148315,6.713205051422119,Cook_Inlet,Cook_Inlet_75000200002930
128,75000200010359,128,34781.000000000000000,3478100.000000000000000,0.000002596369313,31.076091766357422,31.076089169988109,5.148415956783815,4.967332193800658,179067.055392897862475,3.435546636581421,11.288963317871094,Cook_Inlet,Cook_Inlet_75000200010359
129,75000200010144,129,495207.000000000000000,49520700.000000000000000,0.000002568671562,31.099636077880859,31.099633509209298,3.773710299634395,3.841191995136886,1868767.756351049756631,2.871802330017090,8.042964363098145,Cook_Inlet,Cook_Inlet_75000200010144
130,75000200018266,130,1582224.000000000000000,158222400.000000000000000,0.000002401483243,46.071571350097656,46.071568948614413,3.493086597766156,4.395527379351870,5526845.449063957668841,2.853277206420898,8.074078559875488,Cook_Inlet,Cook_Inlet_75000200018266
131,75000200002753,131,798285.000000000000000,79828500.000000000000000,0.000005016348950,40.911182403564453,40.911177387215503,5.530304736462942,4.940582145467301,4414759.316547320224345,4.045846462249756,11.989495468139648,Cook_Inlet,Cook_Inlet_75000200002753
132,75000200015505,132,594887.000000000000000,59488700.000000000000000,0.000006028606549,36.113349914550781,36.113343885944232,5.055977075485758,4.382002134143854,3007735.034504496492445,3.824206352233887,10.894733619689941,Cook_Inlet,Cook_Inlet_75000200015505
133,75000200015584,133,301833.000000000000000,30183300.000000000000000,0.000004997304131,30.031250000000000,30.031245002695869,2.042302395985208,2.251057234163655,616434.259087403421290,2.145181179046631,4.103444099426270,Cook_Inlet,Cook_Inlet_75000200015584
134,75000200002806,134,16048.000000000000000,1604800.000000000000000,0.000005614775091,21.280731201171875,21.280725586396784,1.833838598815557,2.259192305932632,29429.441833792054240,0.956119477748871,3.435932636260986,Cook_Inlet,Cook_Inlet_75000200002806
135,75000200007853,135,633574.000000000000000,63357400.000000000000000,0.000005631884051,40.911182403564453,40.911176771680402,5.259778750809458,4.609242092134601,3332459.062265351414680,4.043251514434814,11.341645336151124,Cook_Inlet,Cook_Inlet_75000200007853
