OBJECTID,SiteID,cat_ID_con,area_diff,lat,lon,site_max_acc,site_acc_sqKm,Area_km2,str_slope,str_slope_dg,str_ord,dist_coast_km,ds_dist_outlet
,BM12,Cook_Inlet_75004400001872,0.088575073879639,60.391393010000002,-149.991529729999996,4039646,100.991150000000005,101.079725073879644,0.000010000000000,0.000572957795112,3,42.978870165656232,121.788214879999998
,BM13,Cook_Inlet_75004400009308,1.873700022330070,60.359475040000000,-149.898466729999996,2629060,65.726500000000001,67.600200022330071,0.004600220000000,0.263571331607878,3,36.836878785207134,130.084272669999990
,BM14,Cook_Inlet_75004400010810,0.166249965015794,60.319636459999998,-149.878992119999992,1351720,33.792999999999999,33.959249965015793,0.000319490000000,0.018305427973799,3,32.975794176038789,135.876220100000012
,BM2,Cook_Inlet_75004400008917,0.002825055719313,60.570161790000000,-151.103326559999999,5062401,126.560024999999996,126.562850055719309,0.001813920000000,0.103929846387479,3,5.182500097272484,6.283577750000000
,BM3,Cook_Inlet_75004400001510,0.350725064797189,60.615360750000001,-151.085968540000010,3938880,98.471999999999994,98.822725064797183,0.000460490000000,0.026384131643052,3,9.741947424766645,19.021312389999999
,BM4,Cook_Inlet_75004400010402,5.679725078533863,60.640559750000001,-151.083898760000011,1666136,41.653399999999998,47.333125078533861,0.000421560000000,0.024153607380733,2,12.284678656689412,22.781257260000000
,BM5,Cook_Inlet_75004400007388,12.210749990055767,60.644734000000000,-151.017541279999989,1253834,31.345849999999999,43.556599990055766,0.001867320000000,0.106989430647241,3,14.541062880280061,22.781257260000000
,BM6,Cook_Inlet_75004400008856,0.722098057796430,60.403656290000001,-149.369565510000001,3480119,87.002975000000006,87.725073057796436,0.016667180000000,0.954870657537736,4,30.678130059489661,150.588762580000008
,BM7,Cook_Inlet_75004400008856,0.722098057796430,60.413942560000002,-149.346521599999988,3480119,87.002975000000006,87.725073057796436,0.016667180000000,0.954870657537736,4,31.946791651886780,150.588762580000008
,BM8,Cook_Inlet_75004400006846,0.012025191242387,60.412102240000003,-149.307821670000010,3156887,78.922174999999996,78.934200191242383,0.000010000000000,0.000572957795112,4,30.994200563652299,156.001061800000002
,BM9,Cook_Inlet_75004400010754,0.052224833661398,60.485196989999999,-149.996574670000001,6554269,163.856725000000012,163.908949833661410,0.005187770000000,0.297234659615792,4,47.634421667010621,105.524181720000001
,KWF1,Cook_Inlet_75004400008917,0.002825055719313,60.560279000000001,-151.125806890000007,5062401,126.560024999999996,126.562850055719309,0.001813920000000,0.103929846387479,3,3.529459240703639,6.283577750000000
,KWF2,Cook_Inlet_75004400008856,0.722098057796430,60.404805639999999,-149.362204149999997,3480119,87.002975000000006,87.725073057796436,0.016667180000000,0.954870657537736,4,30.841777008087970,150.588762580000008
