OID_,cat_ID_txt,cat_elev_ZONE_CODE,cat_elev_COUNT,cat_elev_AREA,cat_elev_MIN,cat_elev_MAX,cat_elev_RANGE,cat_elev_MEAN,cat_elev_STD,cat_elev_SUM,cat_elev_VARIETY,cat_elev_MAJORITY,cat_elev_MINORITY,cat_elev_MEDIAN,cat_elev_PCT90,region,cat_ID_con
60,75004400007387,60,51970.000000000000000,5197000.000000000000000,5,46,41,23.899692130074953,8.332647891208058,1242067.000000000000000,42,27,5,24,35,Cook_Inlet,Cook_Inlet_75004400007387
61,75004400010320,61,80336.000000000000000,8033600.000000000000000,10,88,78,41.561529077872933,15.458916206929601,3338887.000000000000000,79,30,88,33,66,Cook_Inlet,Cook_Inlet_75004400010320
62,75004400001568,62,8136.000000000000000,813600.000000000000000,35,79,44,46.229719764011691,6.904938645581591,376125.000000000000000,45,47,79,46,51,Cook_Inlet,Cook_Inlet_75004400001568
63,75004400008917,63,57866.000000000000000,5786600.000000000000000,6,43,37,21.516451802440088,4.654764324614917,1245071.000000000000000,38,22,6,22,27,Cook_Inlet,Cook_Inlet_75004400008917
64,75004400001952,64,74982.000000000000000,7498200.000000000000000,126,1334,1208,369.999933317329294,254.095213067624712,27743335.000000000000000,1203,126,1031,264,783,Cook_Inlet,Cook_Inlet_75004400001952
65,75004400009919,65,5236.000000000000000,523600.000000000000000,237,728,491,360.409281894575770,113.765155815778755,1887103.000000000000000,463,247,584,332,537,Cook_Inlet,Cook_Inlet_75004400009919
66,75004400001498,66,91785.000000000000000,9178500.000000000000000,12,96,84,33.863605164242635,16.581038017450322,3108171.000000000000000,85,29,96,30,65,Cook_Inlet,Cook_Inlet_75004400001498
67,75004400011711,67,6252.000000000000000,625200.000000000000000,5,913,908,381.701855406269999,245.692804729771467,2386400.000000000000000,900,5,523,361,767,Cook_Inlet,Cook_Inlet_75004400011711
68,75004400003452,68,58.000000000000000,5800.000000000000000,423,441,18,426.362068965517153,3.283702052205342,24729.000000000000000,12,427,430,426,429,Cook_Inlet,Cook_Inlet_75004400003452
69,75004400007388,69,132321.000000000000000,13232100.000000000000000,23,108,85,49.175595710431182,17.935331855310832,6506964.000000000000000,86,40,108,42,81,Cook_Inlet,Cook_Inlet_75004400007388
70,75004400000627,70,4218.000000000000000,421800.000000000000000,2,87,85,31.920104314841122,21.603062029167557,134639.000000000000000,86,6,2,31,65,Cook_Inlet,Cook_Inlet_75004400000627
71,75004400003042,71,4763.000000000000000,476300.000000000000000,4,35,31,20.655889145496637,8.059288522862621,98384.000000000000000,32,26,35,25,28,Cook_Inlet,Cook_Inlet_75004400003042
72,75004400002041,72,28458.000000000000000,2845800.000000000000000,146,522,376,261.589921990301775,75.376616745608558,7444326.000000000000000,377,168,148,256,367,Cook_Inlet,Cook_Inlet_75004400002041
73,75004400011322,73,8110.000000000000000,811000.000000000000000,191,511,320,227.856966707769175,48.841607256830692,1847920.000000000000000,291,202,364,208,290,Cook_Inlet,Cook_Inlet_75004400011322
74,75004400001872,74,2486.000000000000000,248600.000000000000000,168,305,137,205.003620273531737,35.011197883528055,509639.000000000000000,138,171,302,193,258,Cook_Inlet,Cook_Inlet_75004400001872
75,75004400009331,75,28943.000000000000000,2894300.000000000000000,125,1158,1033,407.553432608921014,248.815369239977315,11795819.000000000000000,1029,138,127,326,839,Cook_Inlet,Cook_Inlet_75004400009331
76,75004400009308,76,23385.000000000000000,2338500.000000000000000,200,1363,1163,609.977293136626145,343.493781815528507,14264319.000000000000000,1158,205,1341,543,1147,Cook_Inlet,Cook_Inlet_75004400009308
77,75004400006846,77,230.000000000000000,23000.000000000000000,223,287,64,241.078260869565128,14.287512228203994,55448.000000000000000,53,231,252,237,264,Cook_Inlet,Cook_Inlet_75004400006846
78,75004400003154,78,3338.000000000000000,333800.000000000000000,52,77,25,61.814859197123994,7.378567228064822,206338.000000000000000,26,53,77,61,72,Cook_Inlet,Cook_Inlet_75004400003154
79,75004400002951,79,22113.000000000000000,2211300.000000000000000,147,301,154,184.775968887080523,39.353632213234924,4085951.000000000000000,155,153,301,163,252,Cook_Inlet,Cook_Inlet_75004400002951
80,75004400009260,80,19520.000000000000000,1952000.000000000000000,154,981,827,344.323719262295526,208.075977146006608,6721199.000000000000000,815,154,896,241,681,Cook_Inlet,Cook_Inlet_75004400009260
81,75000100000981,81,55144.000000000000000,5514400.000000000000000,8,93,85,47.848959088930314,17.394783792740963,2638583.000000000000000,86,50,93,48,71,Cook_Inlet,Cook_Inlet_75000100000981
82,75000100003094,82,61487.000000000000000,6148700.000000000000000,108,742,634,331.140354871762042,158.050515969468819,20360827.000000000000000,635,354,741,298,604,Cook_Inlet,Cook_Inlet_75000100003094
83,75000100003947,83,754.000000000000000,75400.000000000000000,32,44,12,39.326259946949598,2.502449742206318,29652.000000000000000,13,40,32,40,42,Cook_Inlet,Cook_Inlet_75000100003947
84,75000100002463,84,257590.000000000000000,25759000.000000000000000,2,119,117,56.346562366551638,21.703894484564469,14514311.000000000000000,118,44,119,55,89,Cook_Inlet,Cook_Inlet_75000100002463
85,75000100001919,85,10296.000000000000000,1029600.000000000000000,70,123,53,90.863247863247651,11.389734592950242,935528.000000000000000,54,94,120,91,106,Cook_Inlet,Cook_Inlet_75000100001919
86,75000100004336,86,218093.000000000000000,21809300.000000000000000,3,745,742,80.388279312036303,98.667127375105892,17532121.000000000000000,743,39,3,50,162,Cook_Inlet,Cook_Inlet_75000100004336
87,75000100000004,87,144527.000000000000000,14452700.000000000000000,5,84,79,29.521542687525681,9.292716611872153,4266660.000000000000000,79,24,80,28,39,Cook_Inlet,Cook_Inlet_75000100000004
88,75000100000652,88,20852.000000000000000,2085200.000000000000000,-2,46,48,24.327642432380710,8.164402559828174,507280.000000000000000,49,26,-2,25,34,Cook_Inlet,Cook_Inlet_75000100000652
89,75000100004200,89,17018.000000000000000,1701800.000000000000000,139,205,66,165.313961687624669,16.236745053200416,2813313.000000000000000,67,147,205,162,192,Cook_Inlet,Cook_Inlet_75000100004200
90,75000100002523,90,6703.000000000000000,670300.000000000000000,46,65,19,50.432194539758385,2.572503255566186,338047.000000000000000,20,52,65,51,53,Cook_Inlet,Cook_Inlet_75000100002523
91,75000100000059,91,9377.000000000000000,937700.000000000000000,3,119,116,56.063239842166837,23.540402030479239,525705.000000000000000,117,48,119,56,84,Cook_Inlet,Cook_Inlet_75000100000059
92,75000400000173,92,4241.000000000000000,424100.000000000000000,15,29,14,18.011082291912317,1.301014344289190,76385.000000000000000,15,18,25,18,19,Cook_Inlet,Cook_Inlet_75000400000173
93,75000400009620,93,41815.000000000000000,4181500.000000000000000,53,378,325,136.941671648928946,62.522149845185574,5726216.000000000000000,322,66,353,133,217,Cook_Inlet,Cook_Inlet_75000400009620
94,75000400014405,94,92997.000000000000000,9299700.000000000000000,13,268,255,34.206512038022645,17.008176013179984,3181103.000000000000000,243,27,13,31,47,Cook_Inlet,Cook_Inlet_75000400014405
95,75000400014403,95,160386.000000000000000,16038600.000000000000000,117,408,291,242.928509969697217,36.412853369516704,38962332.000000000000000,292,235,408,243,281,Cook_Inlet,Cook_Inlet_75000400014403
96,75000700036166,96,2716.000000000000000,271600.000000000000000,116,122,6,117.297864506627477,1.521087367600643,318581.000000000000000,7,117,122,117,120,Cook_Inlet,Cook_Inlet_75000700036166
97,75000700030756,97,127654.000000000000000,12765400.000000000000000,437,798,361,613.452794272015694,97.681176894721503,78309703.000000000000000,362,442,798,633,734,Cook_Inlet,Cook_Inlet_75000700030756
98,75000700032122,98,37180.000000000000000,3718000.000000000000000,742,817,75,759.697848305540674,19.718205509282701,28245566.000000000000000,76,742,817,751,789,Cook_Inlet,Cook_Inlet_75000700032122
99,75000500009621,99,33281.000000000000000,3328100.000000000000000,521,643,122,569.749586851355843,31.333729778320773,18961836.000000000000000,123,536,643,571,614,Cook_Inlet,Cook_Inlet_75000500009621
100,75000500011984,100,24293.000000000000000,2429300.000000000000000,162,438,276,244.365208084633622,76.517631984548373,5936364.000000000000000,277,194,162,203,367,Cook_Inlet,Cook_Inlet_75000500011984
101,75000500009975,101,77877.000000000000000,7787700.000000000000000,180,439,259,227.145781167739500,39.481016255411220,17689432.000000000000000,260,193,439,213,277,Cook_Inlet,Cook_Inlet_75000500009975
