OID_,cat_ID_txt,wtd_elev_ZONE_CODE,wtd_elev_COUNT,wtd_elev_AREA,wtd_elev_MIN,wtd_elev_MAX,wtd_elev_RANGE,wtd_elev_MEAN,wtd_elev_STD,wtd_elev_SUM,wtd_elev_VARIETY,wtd_elev_MAJORITY,wtd_elev_MINORITY,wtd_elev_MEDIAN,wtd_elev_PCT90,region
1,75004200007057.0,1,258728.000000000000000,6468200.000000000000000,0,144500,144500,43255.272046319252695,37427.703864530049032,11191350026.000000000000000,99715,500,4,34500,95911,Cook_Inlet
2,75004300006312.0,2,6172261.000000000000000,154306525.000000000000000,5900,56900,51000,25127.051980627511512,11779.396599647436233,155090722985.000000000000000,50691,12600,5909,22700,43157,Cook_Inlet
3,75004300001906.0,3,3674807.000000000000000,91870175.000000000000000,300,77174,76874,40142.443132115426124,11984.057092484925306,147515731019.000000000000000,75573,37700,301,40200,54648,Cook_Inlet
4,75004300000100.0,4,1158453.000000000000000,28961325.000000000000000,3305,41700,38395,15654.174907397928109,8590.349729997484246,18134625884.000000000000000,36389,9100,3305,12800,29401,Cook_Inlet
5,75004300004983.0,5,610455.000000000000000,15261375.000000000000000,2100,147384,145284,67339.946005848250934,33460.531850512976234,41108006739.000000000000000,126942,33600,2103,65060,117018,Cook_Inlet
6,75004300004332.0,6,13204963.000000000000000,330124075.000000000000000,300,62947,62647,20288.583466686410247,14457.402822213998661,267909994000.000000000000000,62230,11000,303,14300,45428,Cook_Inlet
7,75004300006239.0,7,2241234.000000000000000,56030850.000000000000000,200,97900,97700,23918.776653842767701,19523.744453990002512,53607575475.000000000000000,84797,800,205,18511,52869,Cook_Inlet
8,75004300004304.0,8,12871724.000000000000000,321793100.000000000000000,8030,62100,54070,36733.646367417335568,10869.664054695320374,472825357555.000000000000000,53647,22400,8030,36943,51500,Cook_Inlet
9,75004300002332.0,9,12429105.000000000000000,310727625.000000000000000,10506,62100,51594,37320.402289464829664,10514.759946850232154,463859198698.000000000000000,51156,22400,10506,37418,51699,Cook_Inlet
10,75004300005437.0,10,373986.000000000000000,9349650.000000000000000,19625,46200,26575,32820.557793607265921,7658.499318402378776,12274429127.000000000000000,26003,44000,19625,31432,44199,Cook_Inlet
11,75004300003464.0,11,1562386.000000000000000,39059650.000000000000000,23700,59474,35774,40929.140517132662353,6841.498102380332057,63947116136.000000000000000,34715,38000,23708,40622,50688,Cook_Inlet
12,75004300005171.0,12,321945.000000000000000,8048625.000000000000000,6007,16100,10093,11395.002087312977892,2678.587090144034391,3668563947.000000000000000,9796,7500,6007,12000,14600,Cook_Inlet
13,75004300004701.0,13,6186464.000000000000000,154661600.000000000000000,500,69700,69200,20229.924801146506070,16086.983245148845526,125151701505.000000000000000,68289,8400,501,13000,46024,Cook_Inlet
