OID_,non_north_area,north_area,region,wtd_north_per,cat_ID_txt,cat_ID_con
125,212353500.000000000000000,37601700.000000000000000,Cook_Inlet,15.0433760,75000200000416,Cook_Inlet_75000200000416
126,54633200.000000000000000,6138300.000000000000000,Cook_Inlet,10.1006231,75000200005413,Cook_Inlet_75000200005413
127,218446100.000000000000000,16317200.000000000000000,Cook_Inlet,6.9504900,75000200002930,Cook_Inlet_75000200002930
128,2920700.000000000000000,557400.000000000000000,Cook_Inlet,16.0259914,75000200010359,Cook_Inlet_75000200010359
129,42590800.000000000000000,6929900.000000000000000,Cook_Inlet,13.9939461,75000200010144,Cook_Inlet_75000200010144
130,146188300.000000000000000,12034100.000000000000000,Cook_Inlet,7.6058130,75000200018266,Cook_Inlet_75000200018266
131,66032400.000000000000000,13796100.000000000000000,Cook_Inlet,17.2821732,75000200002753,Cook_Inlet_75000200002753
132,49057200.000000000000000,10431500.000000000000000,Cook_Inlet,17.5352631,75000200015505,Cook_Inlet_75000200015505
133,28322600.000000000000000,1860700.000000000000000,Cook_Inlet,6.1646671,75000200015584,Cook_Inlet_75000200015584
134,1512200.000000000000000,92600.000000000000000,Cook_Inlet,5.7701893,75000200002806,Cook_Inlet_75000200002806
135,52288500.000000000000000,11068900.000000000000000,Cook_Inlet,17.4705715,75000200007853,Cook_Inlet_75000200007853
136,78893300.000000000000000,6953700.000000000000000,Cook_Inlet,8.1001081,75000200018577,Cook_Inlet_75000200018577
137,40177600.000000000000000,3555200.000000000000000,Cook_Inlet,8.1293678,75000200015695,Cook_Inlet_75000200015695
138,1742600.000000000000000,179600.000000000000000,Cook_Inlet,9.3434610,75000200013033,Cook_Inlet_75000200013033
139,6409300.000000000000000,1033300.000000000000000,Cook_Inlet,13.8835888,75000200005075,Cook_Inlet_75000200005075
140,133990100.000000000000000,25234900.000000000000000,Cook_Inlet,15.8485794,75000200007839,Cook_Inlet_75000200007839
141,3341900.000000000000000,110500.000000000000000,Cook_Inlet,3.2006719,75000200007958,Cook_Inlet_75000200007958
142,87890700.000000000000000,7312300.000000000000000,Cook_Inlet,7.6807451,75000200013189,Cook_Inlet_75000200013189
143,214843900.000000000000000,16100800.000000000000000,Cook_Inlet,6.9717121,75000200002934,Cook_Inlet_75000200002934
144,2653100.000000000000000,210500.000000000000000,Cook_Inlet,7.3508868,75000200018235,Cook_Inlet_75000200018235
145,1751200.000000000000000,76400.000000000000000,Cook_Inlet,4.1803460,75000200013258,Cook_Inlet_75000200013258
146,4897600.000000000000000,843300.000000000000000,Cook_Inlet,14.6893349,75000200018069,Cook_Inlet_75000200018069
147,129194300.000000000000000,10994900.000000000000000,Cook_Inlet,7.8429008,75000200013187,Cook_Inlet_75000200013187
148,9462200.000000000000000,604200.000000000000000,Cook_Inlet,6.0021458,75000200007646,Cook_Inlet_75000200007646
149,7392400.000000000000000,1139200.000000000000000,Cook_Inlet,13.3527126,75000200000010,Cook_Inlet_75000200000010
150,129051900.000000000000000,10980400.000000000000000,Cook_Inlet,7.8413339,75000200013185,Cook_Inlet_75000200013185
151,16892900.000000000000000,2594000.000000000000000,Cook_Inlet,13.3115063,75000200010344,Cook_Inlet_75000200010344
152,166642700.000000000000000,13041700.000000000000000,Cook_Inlet,7.2581148,75000200010538,Cook_Inlet_75000200010538
153,129309200.000000000000000,11007700.000000000000000,Cook_Inlet,7.8448853,75000200010547,Cook_Inlet_75000200010547
154,7947000.000000000000000,390700.000000000000000,Cook_Inlet,4.6859446,75000200005606,Cook_Inlet_75000200005606
155,2224800.000000000000000,128500.000000000000000,Cook_Inlet,5.4604173,75000200002554,Cook_Inlet_75000200002554
156,36951300.000000000000000,7803300.000000000000000,Cook_Inlet,17.4357491,75000200017518,Cook_Inlet_75000200017518
157,1424065000.000000000000000,143776900.000000000000000,Cook_Inlet,9.1703701,75000200018332,Cook_Inlet_75000200018332
158,37342100.000000000000000,6268900.000000000000000,Cook_Inlet,14.3745842,75000200015469,Cook_Inlet_75000200015469
159,161413000.000000000000000,12791000.000000000000000,Cook_Inlet,7.3425407,75000200010540,Cook_Inlet_75000200010540
160,668375700.000000000000000,243898800.000000000000000,Cook_Inlet,26.7352428,75000200018806,Cook_Inlet_75000200018806
161,781793300.000000000000000,82758700.000000000000000,Cook_Inlet,9.5724373,75000200003094,Cook_Inlet_75000200003094
162,92442500.000000000000000,23632800.000000000000000,Cook_Inlet,20.3598862,75000200014914,Cook_Inlet_75000200014914
163,95526600.000000000000000,18844600.000000000000000,Cook_Inlet,16.4766998,75000200007639,Cook_Inlet_75000200007639
164,824836400.000000000000000,84995300.000000000000000,Cook_Inlet,9.3418703,75000200013266,Cook_Inlet_75000200013266
165,11713500.000000000000000,1574200.000000000000000,Cook_Inlet,11.8470469,75000200010391,Cook_Inlet_75000200010391
166,40725300.000000000000000,1920700.000000000000000,Cook_Inlet,4.5038223,75000200015860,Cook_Inlet_75000200015860
167,63231300.000000000000000,9537900.000000000000000,Cook_Inlet,13.1070566,75000200005503,Cook_Inlet_75000200005503
168,57773000.000000000000000,12139200.000000000000000,Cook_Inlet,17.3634930,75000200000213,Cook_Inlet_75000200000213
169,28427300.000000000000000,2223300.000000000000000,Cook_Inlet,7.2536917,75000200015782,Cook_Inlet_75000200015782
170,140180200.000000000000000,25283500.000000000000000,Cook_Inlet,15.2803907,75000200011141,Cook_Inlet_75000200011141
171,3032100.000000000000000,163300.000000000000000,Cook_Inlet,5.1104712,75000200008051,Cook_Inlet_75000200008051
