OID_,non_wetland_area,wetland_area,region,wtd_wet_per,cat_ID_txt,cat_ID_con
235,56864900.000000000000000,12928900.000000000000000,Cook_Inlet,18.5244255,75000200008452,Cook_Inlet_75000200008452
236,326175300.000000000000000,24345400.000000000000000,Cook_Inlet,6.9454956,75005300022831,Cook_Inlet_75005300022831
237,264568700.000000000000000,37628200.000000000000000,Cook_Inlet,12.4515505,75005300011378,Cook_Inlet_75005300011378
238,282451000.000000000000000,0.000000000000000,Cook_Inlet,0.0000000,75005400001203,Cook_Inlet_75005400001203
239,28513000.000000000000000,962900.000000000000000,Cook_Inlet,3.2667365,75005400029139,Cook_Inlet_75005400029139
240,10841100.000000000000000,0.000000000000000,Cook_Inlet,0.0000000,75005400013272,Cook_Inlet_75005400013272
241,6396500.000000000000000,914000.000000000000000,Copper_River,12.5025644,75019800000406,Copper_River_75019800000406
242,487125400.000000000000000,74558400.000000000000000,Copper_River,13.2740879,75019800010313,Copper_River_75019800010313
243,32228500.000000000000000,2885000.000000000000000,Copper_River,8.2162132,75019800014348,Copper_River_75019800014348
244,12622500.000000000000000,92200.000000000000000,Copper_River,0.7251449,75019800001957,Copper_River_75019800001957
245,1478801600.000000000000000,143696400.000000000000000,Copper_River,8.8564920,75019800019692,Copper_River_75019800019692
246,4161896100.000000000000000,388316100.000000000000000,Copper_River,8.5340214,75019600118138,Copper_River_75019600118138
247,366944100.000000000000000,3266400.000000000000000,Copper_River,0.8823088,75019700004190,Copper_River_75019700004190
248,33172200.000000000000000,324000.000000000000000,Copper_River,0.9672739,75019700004084,Copper_River_75019700004084
249,699126400.000000000000000,1039200.000000000000000,Copper_River,0.1484220,75019700017692,Copper_River_75019700017692
250,139943600.000000000000000,1684000.000000000000000,Copper_River,1.1890337,75019700001794,Copper_River_75019700001794
251,27468400.000000000000000,678500.000000000000000,Copper_River,2.4105675,75019700003889,Copper_River_75019700003889
252,48613180900.000000000000000,2483557800.000000000000000,Copper_River,4.8605018,75003900062338,Copper_River_75003900062338
253,53807000.000000000000000,159300.000000000000000,Copper_River,0.2951842,75003900033524,Copper_River_75003900033524
254,50579800.000000000000000,1480900.000000000000000,Copper_River,2.8445642,75003900054316,Copper_River_75003900054316
255,3310800.000000000000000,110100.000000000000000,Copper_River,3.2184513,75003900055039,Copper_River_75003900055039
256,7991800.000000000000000,1100.000000000000000,Copper_River,0.0137622,75003900023942,Copper_River_75003900023942
257,5198300.000000000000000,11900.000000000000000,Copper_River,0.2283981,75003900058380,Copper_River_75003900058380
258,1880600.000000000000000,230200.000000000000000,Copper_River,10.9058180,75003900028507,Copper_River_75003900028507
259,20821300.000000000000000,39300.000000000000000,Copper_River,0.1883934,75003900027489,Copper_River_75003900027489
260,3979400.000000000000000,1180900.000000000000000,Copper_River,22.8843288,75003900044936,Copper_River_75003900044936
261,343700.000000000000000,409400.000000000000000,Copper_River,54.3619690,75003900023855,Copper_River_75003900023855
262,5027200.000000000000000,977500.000000000000000,Copper_River,16.2789154,75003900044738,Copper_River_75003900044738
263,132300.000000000000000,74600.000000000000000,Copper_River,36.0560646,75003900055694,Copper_River_75003900055694
264,3748700.000000000000000,106400.000000000000000,Copper_River,2.7599802,75003900023674,Copper_River_75003900023674
265,18011700.000000000000000,4088100.000000000000000,Copper_River,18.4983578,75003900062264,Copper_River_75003900062264
266,6554800.000000000000000,745300.000000000000000,Copper_River,10.2094488,75003900055316,Copper_River_75003900055316
267,3642600.000000000000000,2090200.000000000000000,Copper_River,36.4603691,75003900039073,Copper_River_75003900039073
268,1237500.000000000000000,361300.000000000000000,Copper_River,22.5981979,75003900027771,Copper_River_75003900027771
269,3208126900.000000000000000,57142400.000000000000000,Bristol_Bay,1.7500057,1023044,Bristol_Bay_1023044
270,1188195000.000000000000000,639000.000000000000000,Bristol_Bay,0.0537501,2041471,Bristol_Bay_2041471
271,305695600.000000000000000,231800.000000000000000,Bristol_Bay,0.0757696,2065755,Bristol_Bay_2065755
272,12689000.000000000000000,280800.000000000000000,Bristol_Bay,2.1650295,2065914,Bristol_Bay_2065914
273,29694400.000000000000000,8100.000000000000000,Bristol_Bay,0.0272704,2066924,Bristol_Bay_2066924
