OID_,cat_ID_txt,FType,AwcHuc12_wtd_lake_area_sqm,AwcHuc12_wtd_lake_per,region,cat_ID,cat_ID_con
518,4120132,390,103074597.094133943319321,1.683904922968730,Bristol_Bay,4120132,Bristol_Bay_4120132
519,5002498,390,77829.216056868070154,0.137122246792347,Bristol_Bay,5002498,Bristol_Bay_5002498
520,5007067,390,894740.173258140916005,10.471288322096047,Bristol_Bay,5007067,Bristol_Bay_5007067
521,5007887,390,8527.261524074598128,0.017792558369308,Bristol_Bay,5007887,Bristol_Bay_5007887
522,5007917,390,45967.877309212526598,0.078044464324397,Bristol_Bay,5007917,Bristol_Bay_5007917
523,5008157,390,47723.242071586057136,0.779855250781699,Bristol_Bay,5008157,Bristol_Bay_5008157
524,5008427,390,1479007.577187426388264,2.888049272694555,Bristol_Bay,5008427,Bristol_Bay_5008427
525,5008497,390,1533176.802181084873155,1.631766502495351,Bristol_Bay,5008497,Bristol_Bay_5008497
526,5008737,390,1656030.783223566133529,0.956780875382512,Bristol_Bay,5008737,Bristol_Bay_5008737
527,5008887,390,137544.367051193170482,0.253551557689154,Bristol_Bay,5008887,Bristol_Bay_5008887
528,5011650,390,654540.370048218988813,0.543729856485952,Bristol_Bay,5011650,Bristol_Bay_5011650
529,5012050,390,592710.606244780356064,0.592038051018823,Bristol_Bay,5012050,Bristol_Bay_5012050
530,5017441,390,12958.812197459212257,0.027010805724188,Bristol_Bay,5017441,Bristol_Bay_5017441
531,5018456,390,222794.498089276079554,1.279633894417695,Bristol_Bay,5018456,Bristol_Bay_5018456
532,5018896,390,349906.498951416928321,0.743379496685590,Bristol_Bay,5018896,Bristol_Bay_5018896
533,5018936,390,109930.605295452958671,0.586012150345448,Bristol_Bay,5018936,Bristol_Bay_5018936
534,5019001,390,276815.977141471172217,0.187742745661562,Bristol_Bay,5019001,Bristol_Bay_5019001
535,5019146,390,73505.649554455187172,0.144201956590612,Bristol_Bay,5019146,Bristol_Bay_5019146
536,5019161,390,2427460.378079806454480,0.671962838417305,Bristol_Bay,5019161,Bristol_Bay_5019161
537,5019176,390,1841892.233181638643146,2.572917181557221,Bristol_Bay,5019176,Bristol_Bay_5019176
538,5019446,390,151578.622956095641712,0.366921618643253,Bristol_Bay,5019446,Bristol_Bay_5019446
539,5019751,390,9358071.801574721932411,1.608139654047224,Bristol_Bay,5019751,Bristol_Bay_5019751
540,5019921,390,16890229.960421711206436,1.696108148611365,Bristol_Bay,5019921,Bristol_Bay_5019921
541,5020386,390,565947.100991334998980,1.139464806154762,Bristol_Bay,5020386,Bristol_Bay_5020386
542,5020786,390,1832019.118011158658192,0.519913919389539,Bristol_Bay,5020786,Bristol_Bay_5020786
543,5021296,390,3981155.242150402627885,1.219667728455262,Bristol_Bay,5021296,Bristol_Bay_5021296
544,5021406,390,3057760.296681179665029,1.117295354742110,Bristol_Bay,5021406,Bristol_Bay_5021406
545,5021776,390,3210825.750080260448158,1.269773615306234,Bristol_Bay,5021776,Bristol_Bay_5021776
546,5021956,390,8705163.225098701193929,1.596403881159854,Bristol_Bay,5021956,Bristol_Bay_5021956
547,5022016,390,91148.844577794152428,0.165149849936936,Bristol_Bay,5022016,Bristol_Bay_5022016
548,5022046,390,2902161.882446551229805,0.657515853007084,Bristol_Bay,5022046,Bristol_Bay_5022046
549,5022406,390,18634775.469475965946913,3.385099943755249,Bristol_Bay,5022406,Bristol_Bay_5022406
550,5022456,390,6840787.942290762439370,1.046142563064619,Bristol_Bay,5022456,Bristol_Bay_5022456
551,5026052,390,845103.286576433572918,1.252440903983510,Bristol_Bay,5026052,Bristol_Bay_5026052
552,5027312,390,195838.287065755052026,0.477310927663645,Bristol_Bay,5027312,Bristol_Bay_5027312
553,5028352,390,697173.028280258993618,0.436437716814244,Bristol_Bay,5028352,Bristol_Bay_5028352
554,5028502,390,5603015.028746946714818,7.781522203245298,Bristol_Bay,5028502,Bristol_Bay_5028502
555,5028612,390,1704295.685685535194352,3.946864791657292,Bristol_Bay,5028612,Bristol_Bay_5028612
556,5029122,390,4141513.759467695839703,0.881155142249796,Bristol_Bay,5029122,Bristol_Bay_5029122
557,5029572,390,1284765.638038027100265,2.341723710109210,Bristol_Bay,5029572,Bristol_Bay_5029572
558,5030363,390,4540748.848522488959134,6.167643748986363,Bristol_Bay,5030363,Bristol_Bay_5030363
559,5030514,390,981851.779415443539619,1.475319644871278,Bristol_Bay,5030514,Bristol_Bay_5030514
560,5030574,390,242927.021827020391356,0.388418488881211,Bristol_Bay,5030574,Bristol_Bay_5030574
561,5030704,390,1015804.098514871788211,2.284934292129564,Bristol_Bay,5030704,Bristol_Bay_5030704
562,5031154,390,552754.251997263287194,0.432849353919861,Bristol_Bay,5031154,Bristol_Bay_5031154
563,5031214,390,729991.522529486333951,0.420718932012464,Bristol_Bay,5031214,Bristol_Bay_5031214
564,5032313,390,248018.022347905003699,0.209030667414997,Bristol_Bay,5032313,Bristol_Bay_5032313
565,5032395,390,945728.463060959707946,1.735606412688172,Bristol_Bay,5032395,Bristol_Bay_5032395
566,5032404,390,7044809.900093321688473,10.079983717193842,Bristol_Bay,5032404,Bristol_Bay_5032404
567,5032723,390,4506370.445032407529652,0.892666640195065,Bristol_Bay,5032723,Bristol_Bay_5032723
568,5032944,390,6503736.387712745927274,2.392332890471201,Bristol_Bay,5032944,Bristol_Bay_5032944
569,5033043,390,261371.200683993229177,0.166726756586556,Bristol_Bay,5033043,Bristol_Bay_5033043
570,5033045,390,1096898.287053718697280,1.953935375305665,Bristol_Bay,5033045,Bristol_Bay_5033045
571,5033104,390,9847561.831659995019436,3.962283335845410,Bristol_Bay,5033104,Bristol_Bay_5033104
572,5033175,390,6791816.832573304884136,12.515625296126915,Bristol_Bay,5033175,Bristol_Bay_5033175
573,5033213,390,6613578.517460936680436,0.994851311464405,Bristol_Bay,5033213,Bristol_Bay_5033213
574,5033295,390,302203.454011164023541,0.265446540636190,Bristol_Bay,5033295,Bristol_Bay_5033295
575,5033373,390,1441372.885285290190950,0.987423631672747,Bristol_Bay,5033373,Bristol_Bay_5033373
576,5033474,390,87078392.318191409111023,2.398373513529520,Bristol_Bay,5033474,Bristol_Bay_5033474
577,5033733,390,382357.382222525251564,0.454320904920052,Bristol_Bay,5033733,Bristol_Bay_5033733
578,5033883,390,6592990.969765737652779,2.229875697624565,Bristol_Bay,5033883,Bristol_Bay_5033883
579,5034213,390,1815156.136860359227285,0.678646508995072,Bristol_Bay,5034213,Bristol_Bay_5034213
580,5034423,390,7531012.052236703224480,1.584929671039061,Bristol_Bay,5034423,Bristol_Bay_5034423
581,5034833,390,2483742.030298716854304,0.452441613267373,Bristol_Bay,5034833,Bristol_Bay_5034833
582,5034953,390,59276674.367800943553448,4.439796588370236,Bristol_Bay,5034953,Bristol_Bay_5034953
583,5035463,390,62814378.867373645305634,3.981388283058915,Bristol_Bay,5035463,Bristol_Bay_5035463
584,5035645,390,653315.909063710249029,0.282328559288077,Bristol_Bay,5035645,Bristol_Bay_5035645
585,5035693,390,68618113.358123555779457,3.033485139586750,Bristol_Bay,5035693,Bristol_Bay_5035693
586,5035695,390,81088.348710765145370,0.051274845923042,Bristol_Bay,5035695,Bristol_Bay_5035695
587,5035935,390,343383.504258998436853,0.120248950488250,Bristol_Bay,5035935,Bristol_Bay_5035935
588,5036715,390,838506.645959015237167,0.557712767868959,Bristol_Bay,5036715,Bristol_Bay_5036715
589,5037715,390,7134533.022987135685980,5.828985904930359,Bristol_Bay,5037715,Bristol_Bay_5037715
590,5037825,390,3375778.347391440998763,1.029121962737437,Bristol_Bay,5037825,Bristol_Bay_5037825
591,5038205,390,4476330.540882687084377,1.135582363060348,Bristol_Bay,5038205,Bristol_Bay_5038205
592,5038485,390,1827443.035491845570505,2.690395445974507,Bristol_Bay,5038485,Bristol_Bay_5038485
593,5038685,390,109263704.469433978199959,2.493839379534672,Bristol_Bay,5038685,Bristol_Bay_5038685
594,75000100000043,390,1911654.717703687725589,1.004599932769494,Cook_Inlet,75000100000043,Cook_Inlet_75000100000043
595,75000100000409,390,52003729.165214985609055,0.601945241772513,Cook_Inlet,75000100000409,Cook_Inlet_75000100000409
596,75000100000652,390,32219941.314070392400026,9.973663941264322,Cook_Inlet,75000100000652,Cook_Inlet_75000100000652
597,75000100000953,390,12060.307501034772940,0.015306716707023,Cook_Inlet,75000100000953,Cook_Inlet_75000100000953
598,75000100001262,390,14172149.027577711269259,7.341539909904014,Cook_Inlet,75000100001262,Cook_Inlet_75000100001262
599,75000100001315,390,2800156.580278717447072,0.464287329507913,Cook_Inlet,75000100001315,Cook_Inlet_75000100001315
600,75000100001396,390,636786.311715582502075,0.317516216016266,Cook_Inlet,75000100001396,Cook_Inlet_75000100001396
601,75000100001408,390,6691292.813486633822322,6.471595102400232,Cook_Inlet,75000100001408,Cook_Inlet_75000100001408
602,75000100001538,390,1139511.038807117147371,0.822341817562725,Cook_Inlet,75000100001538,Cook_Inlet_75000100001538
603,75000100001685,390,487458.597011010919232,0.231477732083593,Cook_Inlet,75000100001685,Cook_Inlet_75000100001685
604,75000100001864,390,1911646.062749047763646,1.007685586102027,Cook_Inlet,75000100001864,Cook_Inlet_75000100001864
605,75000100001872,390,622927.063420966384001,0.752113908643999,Cook_Inlet,75000100001872,Cook_Inlet_75000100001872
606,75000100001880,390,60180.054736367164878,0.147169094096824,Cook_Inlet,75000100001880,Cook_Inlet_75000100001880
607,75000100001892,390,391083.093495928798802,0.503494705872646,Cook_Inlet,75000100001892,Cook_Inlet_75000100001892
608,75000100002150,390,13751056.825466521084309,3.046065502972501,Cook_Inlet,75000100002150,Cook_Inlet_75000100002150
