cat_ID_con,wtd_lcld_mn_2001,wtd_lcld_mn_2002,wtd_lcld_mn_2003,wtd_lcld_mn_2004,wtd_lcld_mn_2005,wtd_lcld_mn_2006,wtd_lcld_mn_2007,wtd_lcld_mn_2008,wtd_lcld_mn_2009,wtd_lcld_mn_2010,wtd_lcld_mn_2011,wtd_lcld_mn_2012,wtd_lcld_mn_2013,wtd_lcld_mn_2014,wtd_lcld_mn_2015,wtd_lcld_mn_2016,wtd_lcld_mn_2017,wtd_lcld_mn_2018,wtd_lcld_mn_2019
Cook_Inlet_75000200019765,519.9625748502996,512.7485029940118,510.08383233532936,504.75299401197634,518.2215568862274,512.2365269461079,504.33233532934145,514.2919161676646,504.44610778443115,505.0119760479042,342.48652694610774,523.062874251497,526.7470059880241,508.8637724550898,501.1991017964069,505.4820359281438,505.02694610778434,522.0149700598803,512.0628742514967
Cook_Inlet_75000200016095,475.40000000000003,484.4084507042254,451.2857142857143,484.16901408450695,473.4142857142857,475.3749999999999,477.6527777777779,483.0563380281691,478.2916666666667,476.5217391304348,704.7945205479451,483.4861111111111,492.4264705882352,478.0724637681158,456.72463768115927,457.9861111111112,476.6714285714287,474.5972222222223,474.26388888888886
Cook_Inlet_75000200014508,513.7114014251781,508.1555819477435,495.9714964370546,499.26128266033277,511.23159144893106,506.5522565320667,497.9263657957246,508.0534441805225,499.94061757719714,500.477434679335,343.48271752085816,515.9180522565322,522.3705463182899,501.7315914489311,491.87767220902595,496.7553444180524,499.1294536817101,514.2399049881235,504.98693586698323
Cook_Inlet_75000200015883,494.91393027629096,491.8829339143065,471.24224777988053,479.90865454545445,488.2780367025925,489.81398052608625,474.22290031967447,492.71664733178653,487.0031976744184,484.54134573463153,341.5900477361495,491.682055749129,501.9763081395349,479.63054545454554,465.2268026219958,467.6231968526883,473.0340660940456,481.2748512552605,478.96353026987595
Cook_Inlet_75000200014057,479.7777777777778,488.8888888888888,423.75,472.4166666666667,472.58333333333326,476.36111111111114,472.2500000000001,479.4722222222223,475.27777777777777,480.5833333333335,354.25000000000006,482.50000000000006,494.08333333333337,445.33333333333337,434.9166666666667,426.72222222222223,475.1666666666667,471.33333333333337,460.1944444444444
Cook_Inlet_75000200019263,488.625,490.0,442.375,478.68750000000006,480.625,487.75,469.6875,481.25,482.6875,478.5625,348.4375,491.8125,504.1875,472.875,445.75,452.43750000000006,478.6875,486.125,479.4375
Cook_Inlet_75000200003896,504.54486133768376,502.0024469820555,475.76264274061987,491.60766721044064,500.9836867862969,498.4070146818924,490.13866231647637,499.0081566068515,493.08890701468187,493.51712887438833,346.3579638752052,506.8588907014683,514.5505709624797,489.0530179445351,476.60603588907,480.362969004894,492.23572593800975,504.1402936378466,493.8352365415986
Cook_Inlet_75000200005619,485.9558823529413,486.2095588235292,462.58823529411734,480.2573529411766,482.33823529411745,483.96323529411745,475.4558823529411,490.1874999999999,484.8933823529413,480.70220588235276,344.48161764705867,489.5588235294117,496.71691176470574,478.6470588235295,460.4301470588236,467.32352941176435,473.2720588235296,476.1397058823525,478.2536764705883
Cook_Inlet_75000200014207,507.86246418338123,504.1451766953199,482.05826170009556,494.28271251193905,504.7879656160458,501.2932187201528,492.8911174785101,502.36676217765034,495.5319961795606,495.792741165234,345.57459095283923,510.10315186246436,517.2110792741165,494.7822349570201,482.1910219675261,486.6809933142312,494.85577841451766,507.5940783190067,497.7784145176694
Cook_Inlet_75000200007927,520.9016020175796,512.0936898846803,510.152341577939,504.0163431388736,512.4909342118151,514.2732929155806,503.3310676017514,517.5005539825181,506.8229701728121,506.0530862799985,363.077718024973,516.3350003847054,521.5935952221593,508.14360766976705,502.7620219213413,503.40613399646645,501.04499778412213,514.5227166660703,509.4777511764235
Cook_Inlet_75000200011034,473.5662650602411,483.96932515337426,432.61783439490443,479.69426751592346,473.2371794871793,471.6855345911949,475.17469879518075,477.8036809815953,476.34782608695645,475.484662576687,409.8192090395482,483.160714285714,490.93670886075944,474.0382165605096,452.935064935065,443.3806451612905,475.8924050632912,472.87804878048803,465.73248407643314
Cook_Inlet_75000200015882,495.2827658933412,492.1170953101362,471.599939338793,479.88954545454556,488.52404794416634,490.05525280048425,474.17178749810785,492.8213260836733,487.08993186979563,484.6998183469574,341.47017173847547,491.76878874943293,502.19364118092363,479.6700000000002,465.4198786039456,467.63221007893145,473.0207764634516,481.48337363966135,478.99361702127675
Cook_Inlet_75000200016094,489.2757216876389,493.0930663700408,449.94595601938136,484.22313432835824,486.07097497198356,485.3810408921932,481.80726464047444,487.9420935412027,483.8335809806835,485.01524163568774,379.0187637969094,494.16444937176647,503.0373552484124,477.80835197613726,462.9686098654708,458.49346771183286,483.4337797619048,488.00482017056,476.9079731743665
Cook_Inlet_75000200008452,474.94814814814816,484.00746268656695,448.45945945945925,482.5791505791506,473.94274809160294,474.86363636363626,474.07777777777795,482.4307692307693,479.4555555555556,477.776061776062,730.0,484.40076335877865,494.1279069767444,477.5884615384616,457.2122448979593,456.96899224806174,476.35000000000014,475.18081180811805,472.27822580645136
Cook_Inlet_75005300022831,515.5664285714277,504.95071428571396,493.6442857142855,495.37714285714225,505.7528571428579,506.2250000000001,488.425,516.8092857142868,495.86285714285725,503.97714285714306,460.57428571428545,509.62142857142845,512.1800000000004,489.598571428571,487.9021428571435,485.6764285714288,487.8378571428574,499.177857142857,499.8307142857145
Cook_Inlet_75005300011378,503.9579901153213,498.2199341021422,477.49423393739744,488.4884678747946,493.2701812191105,498.06589785831983,479.2174629324543,503.0889621087314,489.501647446458,495.2347611202634,409.9703459637562,503.362438220758,507.29654036243846,483.7454695222403,481.5090609555189,476.5156507413508,478.09143327841866,487.510708401977,487.3369028006592
Cook_Inlet_75005400001203,532.2294489611563,528.5328532853285,504.02463503649625,519.1666666666677,513.2484018264844,528.1234119782213,517.7820976491867,538.0071748878918,521.1022624434387,528.1931407942237,658.1686203787183,527.1823056300268,528.576470588235,509.8867579908678,512.5591985428048,515.6891522333636,506.79395604395637,517.171818181819,503.40312213039516
Cook_Inlet_75005400029139,521.1610169491529,509.8135593220339,479.9152542372881,503.88983050847463,502.96610169491527,502.5338983050847,494.53389830508473,519.2203389830509,489.3389830508472,509.8050847457627,649.8220338983056,512.5169491525425,509.9406779661015,487.7627118644069,470.8983050847459,475.3305084745762,488.8135593220337,501.6694915254238,495.33898305084745
Cook_Inlet_75005400013272,512.0588235294117,503.4324324324324,479.79411764705884,490.75675675675683,492.94117647058823,504.14705882352945,492.5135135135136,508.7368421052631,500.02702702702703,501.00000000000006,454.55555555555566,505.02777777777777,509.22222222222206,480.88235294117646,471.8611111111111,460.2285714285715,482.31250000000006,490.6060606060606,480.81249999999994
Copper_River_75019800000406,479.6428571428571,489.57142857142856,480.0,474.78571428571433,483.9285714285714,490.9642857142857,465.10714285714283,480.1785714285714,485.75,483.32142857142867,337.85714285714283,487.3571428571429,508.1785714285714,480.4642857142858,480.03571428571433,471.0357142857143,466.67857142857144,495.00000000000006,468.3928571428571
