OID_,cat_ID_txt,FType,wtd_lake_area_sqm,wtd_lake_per,region,cat_ID,cat_ID_con
152,75004300001288,390,814.245202272648726,0.001951018081121,Cook_Inlet,75004300001288,Cook_Inlet_75004300001288
153,75004300001906,390,3155003.180688920430839,3.434197416671526,Cook_Inlet,75004300001906,Cook_Inlet_75004300001906
154,75004300002142,390,814.245202272648726,0.001471291714437,Cook_Inlet,75004300002142,Cook_Inlet_75004300002142
155,75004300002207,390,339945.924486318253912,0.085350474263869,Cook_Inlet,75004300002207,Cook_Inlet_75004300002207
156,75004300002289,390,10091.867409149797822,0.123535565647369,Cook_Inlet,75004300002289,Cook_Inlet_75004300002289
157,75004300002332,390,158588.595747429528274,0.051037816745638,Cook_Inlet,75004300002332,Cook_Inlet_75004300002332
158,75004300003464,390,1109.641008999108180,0.002840888252432,Cook_Inlet,75004300003464,Cook_Inlet_75004300003464
159,75004300004192,390,583601.963645999785513,0.100313403371950,Cook_Inlet,75004300004192,Cook_Inlet_75004300004192
160,75004300004217,390,76774.541670564300148,0.058184990120182,Cook_Inlet,75004300004217,Cook_Inlet_75004300004217
161,75004300004254,390,175414.628385408810573,0.050512640669180,Cook_Inlet,75004300004254,Cook_Inlet_75004300004254
162,75004300004304,390,158588.595747429528274,0.049282783196889,Cook_Inlet,75004300004304,Cook_Inlet_75004300004304
163,75004300004324,390,575377.443703976459801,0.100781149107462,Cook_Inlet,75004300004324,Cook_Inlet_75004300004324
164,75004300004332,390,462571.329750153294299,0.140120447163025,Cook_Inlet,75004300004332,Cook_Inlet_75004300004332
165,75004300004341,390,18367.261903742532013,0.006841800622814,Cook_Inlet,75004300004341,Cook_Inlet_75004300004341
166,75004300004452,390,18367.261903742532013,0.011405001654432,Cook_Inlet,75004300004452,Cook_Inlet_75004300004452
167,75004300004701,390,2067938.578596205916256,1.337073053988711,Cook_Inlet,75004300004701,Cook_Inlet_75004300004701
168,75004300004983,390,145404.677237260504626,0.952762618915962,Cook_Inlet,75004300004983,Cook_Inlet_75004300004983
169,75004300005245,390,219982.750600249244599,0.124240432943077,Cook_Inlet,75004300005245,Cook_Inlet_75004300005245
170,75004300005303,390,7471.533230706494578,0.007763164250643,Cook_Inlet,75004300005303,Cook_Inlet_75004300005303
171,75004300005352,390,3669.361046678422554,0.006219693496040,Cook_Inlet,75004300005352,Cook_Inlet_75004300005352
172,75004300006013,390,1154927.205253591062501,2.577463409536374,Cook_Inlet,75004300006013,Cook_Inlet_75004300006013
173,75004300006071,390,10366763.918398149311543,4.860718934586840,Cook_Inlet,75004300006071,Cook_Inlet_75004300006071
174,75004300006239,390,1696133.146996639436111,3.027141554860553,Cook_Inlet,75004300006239,Cook_Inlet_75004300006239
175,75004300006312,390,35351.211545780090091,0.022909732139650,Cook_Inlet,75004300006312,Cook_Inlet_75004300006312
176,75004300006376,390,140221.333843686996261,0.336826801409485,Cook_Inlet,75004300006376,Cook_Inlet_75004300006376
177,75004300007324,390,7471.533230706494578,0.008390830522576,Cook_Inlet,75004300007324,Cook_Inlet_75004300007324
178,75004300007331,390,763637.396221510367468,1.098221191795590,Cook_Inlet,75004300007331,Cook_Inlet_75004300007331
179,75004300008012,390,443036.114218112314120,0.745664373221275,Cook_Inlet,75004300008012,Cook_Inlet_75004300008012
180,75004400000576,390,6675778.548236705362797,2.399047083155341,Cook_Inlet,75004400000576,Cook_Inlet_75004400000576
181,75004400000627,390,275905.773125282838009,0.067197519162316,Cook_Inlet,75004400000627,Cook_Inlet_75004400000627
182,75004400001498,390,281250010.664331555366516,5.451813728081397,Cook_Inlet,75004400001498,Cook_Inlet_75004400001498
183,75004400001510,390,7240125.739714737050235,7.326377343842169,Cook_Inlet,75004400001510,Cook_Inlet_75004400001510
184,75004400001568,390,2496440.834563054144382,0.708317871705056,Cook_Inlet,75004400001568,Cook_Inlet_75004400001568
185,75004400001872,390,5388196.005468183197081,5.330639751473330,Cook_Inlet,75004400001872,Cook_Inlet_75004400001872
186,75004400001952,390,86822162.909733921289444,5.187461561560475,Cook_Inlet,75004400001952,Cook_Inlet_75004400001952
187,75004400002041,390,5778834.889617667533457,6.880519583308867,Cook_Inlet,75004400002041,Cook_Inlet_75004400002041
188,75004400002950,390,1721071.712733580498025,1.215178372814033,Cook_Inlet,75004400002950,Cook_Inlet_75004400002950
189,75004400002951,390,436950.035872915294021,1.170341797210800,Cook_Inlet,75004400002951,Cook_Inlet_75004400002951
190,75004400003042,390,69876908.068247914314270,10.243800268320687,Cook_Inlet,75004400003042,Cook_Inlet_75004400003042
191,75004400003154,390,225874824.961724221706390,7.045516753353325,Cook_Inlet,75004400003154,Cook_Inlet_75004400003154
192,75004400003452,390,396475.457217774004675,2.583970977016597,Cook_Inlet,75004400003452,Cook_Inlet_75004400003452
193,75004400004829,390,5397633.440297041088343,4.299107279196219,Cook_Inlet,75004400004829,Cook_Inlet_75004400004829
194,75004400006041,390,33079719.611820399761200,5.122816956320499,Cook_Inlet,75004400006041,Cook_Inlet_75004400006041
