OID_,cat_ID_txt,AwcHuc12_cat_elev_ZONE_CODE,AwcHuc12_cat_elev_COUNT,AwcHuc12_cat_elev_AREA,AwcHuc12_cat_elev_MIN,AwcHuc12_cat_elev_MAX,AwcHuc12_cat_elev_RANGE,AwcHuc12_cat_elev_MEAN,AwcHuc12_cat_elev_STD,AwcHuc12_cat_elev_SUM,AwcHuc12_cat_elev_VARIETY,AwcHuc12_cat_elev_MAJORITY,AwcHuc12_cat_elev_MINORITY,AwcHuc12_cat_elev_MEDIAN,AwcHuc12_cat_elev_PCT90,region,cat_ID_con
95,2070227,95,15253.000000000000000,1525300.000000000000000,1,16,15,4.027470005900478,2.711740466551223,61431.000000000000000,16,1,16,5,7,Bristol_Bay,Bristol_Bay_2070227
96,2070527,96,95.000000000000000,9500.000000000000000,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,0,0,0,Bristol_Bay,Bristol_Bay_2070527
97,2070574,97,1419.000000000000000,141900.000000000000000,22,71,49,34.656095842142356,6.904675355839093,49177.000000000000000,45,30,22,32,44,Bristol_Bay,Bristol_Bay_2070574
98,2070607,98,2703.000000000000000,270300.000000000000000,0,4,4,0.238623751387347,0.714287280466561,645.000000000000000,5,0,4,0,1,Bristol_Bay,Bristol_Bay_2070607
99,2072204,99,2981.000000000000000,298100.000000000000000,78,173,95,113.833277423683427,22.521435902316981,339337.000000000000000,96,90,173,112,146,Bristol_Bay,Bristol_Bay_2072204
100,2072244,100,1518.000000000000000,151800.000000000000000,11,22,11,14.505928853754950,2.375967543063080,22020.000000000000000,12,14,22,14,18,Bristol_Bay,Bristol_Bay_2072244
101,2073204,101,2128.000000000000000,212800.000000000000000,18,261,243,31.783834586466199,16.544235587074080,67636.000000000000000,67,29,56,29,43,Bristol_Bay,Bristol_Bay_2073204
102,2073484,102,473.000000000000000,47300.000000000000000,11,56,45,17.566596194503180,9.749955517855174,8309.000000000000000,40,15,21,15,29,Bristol_Bay,Bristol_Bay_2073484
103,2073634,103,3130.000000000000000,313000.000000000000000,11,186,175,70.160383386581515,50.493024500179125,219602.000000000000000,176,13,186,63,140,Bristol_Bay,Bristol_Bay_2073634
104,2073694,104,5491.000000000000000,549100.000000000000000,210,243,33,220.384629393553183,8.586726008446316,1210132.000000000000000,34,211,243,218,232,Bristol_Bay,Bristol_Bay_2073694
105,2074054,105,1684.000000000000000,168400.000000000000000,174,278,104,198.552850356294414,31.019860854135096,334363.000000000000000,104,178,224,180,258,Bristol_Bay,Bristol_Bay_2074054
106,2074434,106,1498.000000000000000,149800.000000000000000,14,27,13,15.785046728971960,1.174036276863636,23646.000000000000000,11,15,20,16,17,Bristol_Bay,Bristol_Bay_2074434
107,2074484,107,230.000000000000000,23000.000000000000000,14,23,9,16.439130434782605,2.143390067856703,3781.000000000000000,10,15,23,16,19,Bristol_Bay,Bristol_Bay_2074484
108,2074724,108,118.000000000000000,11800.000000000000000,36,39,3,37.381355932203377,0.535510077219647,4411.000000000000000,4,37,39,37,38,Bristol_Bay,Bristol_Bay_2074724
109,2074794,109,1870.000000000000000,187000.000000000000000,13,28,15,16.167379679144403,2.681946990151528,30233.000000000000000,16,15,13,15,19,Bristol_Bay,Bristol_Bay_2074794
110,2075404,110,2438.000000000000000,243800.000000000000000,11,52,41,16.303117309269915,6.463851534856226,39747.000000000000000,37,14,37,14,28,Bristol_Bay,Bristol_Bay_2075404
111,2076162,111,4186.000000000000000,418600.000000000000000,75,96,21,89.859292881031749,4.580858288891477,376151.000000000000000,22,93,77,92,94,Bristol_Bay,Bristol_Bay_2076162
112,2076174,112,3143.000000000000000,314300.000000000000000,22,53,31,35.150493159401840,9.433320367949253,110478.000000000000000,32,25,22,33,50,Bristol_Bay,Bristol_Bay_2076174
113,2076202,113,3706.000000000000000,370600.000000000000000,159,340,181,209.035078251483753,35.783156365811038,774684.000000000000000,154,166,299,213,255,Bristol_Bay,Bristol_Bay_2076202
114,2076254,114,191.000000000000000,19100.000000000000000,13,15,2,13.659685863874344,0.617712301727859,2609.000000000000000,3,14,15,14,14,Bristol_Bay,Bristol_Bay_2076254
115,2076454,115,2528.000000000000000,252800.000000000000000,68,119,51,87.280854430379620,16.455066759352821,220646.000000000000000,52,68,119,92,109,Bristol_Bay,Bristol_Bay_2076454
116,2076994,116,4272.000000000000000,427200.000000000000000,11,32,21,13.973548689138559,4.372625385579084,59695.000000000000000,22,11,32,11,22,Bristol_Bay,Bristol_Bay_2076994
