Region,HUC12,Year,Scenario,TempSens,dist_coast_km,wtd_area_sqKM,str_slope,cat_elev_MEAN,cat_slope_MEAN,wtd_north_per,wtd_slope_MEAN,wtd_glacier_per,wtd_lake_per,wtd_wet_per,wtd_lcld_jd,summer_precip,Chinook,Sockeye,Chum,Pink,Coho,Spawning,Rearing
Copper_River,190201021706,2018,High Precipitation,0.4006822585253968,107.19930463054689,384.33172500024966,0.14293067,318.2429906542055,2.463574374141352,13.2737379,4.915033244904571,1.403819609656232,0.411205444803397,7.1083312,492.6960395162338,218.46,0,0,0,0,1,0,1
Copper_River,190201021802,2018,High Precipitation,0.20379961979736902,42.040166720948044,289.2913500239999,0.00350836,695.9657929635669,13.576560486266251,33.3516655,22.367310960268952,36.70209480915882,0.501200270271232,1.0983911,547.9001369313874,485.42,0,1,0,0,0,1,0
Copper_River,190201021805,2018,High Precipitation,0.21051737709448462,54.85222497539512,60.8164750029999,1e-5,529.1622950819673,3.803531829718432,20.2540569,15.621730085193434,0,0.689288533716236,1.1540393,513.3087875944524,451.73,0,1,0,0,0,1,0
Copper_River,190201021904,2018,High Precipitation,0.11936112540963795,53.41937231294041,303.7954501482498,0.00574543,559.9054677206851,5.588211304866835,27.8442211,26.976151984389492,4.336245399420333,0.316693670004322,0.3566402,536.4856476496798,450.34000000000003,0,0,0,0,1,0,0
Copper_River,190201022001,2016,High Precipitation,0.4068911908933145,77.83615858236566,149.24097501374968,0.00386965,612.307016488145,3.275490740689863,23.739584,5.190985159637044,0,7.378059727241,5.0809021,478.4733062917369,292.13,1,1,0,0,0,1,0
Copper_River,190201022003,2018,High Precipitation,0.24714860928759533,69.53310404574852,329.22994997549995,0.00934571,530.07525083612,2.913384535337392,23.3288193,11.867310791125941,0,3.374076990961535,2.7954509,501.4691274747183,428.98,1,1,0,0,0,1,0
Copper_River,190201022005,2018,High Precipitation,0.23811004606053718,73.4016785779704,145.7562000949997,0.012177160000000001,544.5579781153019,2.771241194849441,31.4085197,17.29679846962296,0,0.027893656340872,0.097986,512.9690498653766,438.56,1,1,0,0,0,1,1
Copper_River,190201022006,2018,High Precipitation,0.2376746041697622,78.08907345608745,1781.7067751084996,1e-5,552.7887788778878,12.14063586243165,25.8650436,18.587040384507844,9.260740068930742,4.713519902921328,1.0008503,524.2962966483109,443.6,1,1,0,0,1,1,1
Copper_River,190201022101,2018,High Precipitation,0.19565485711063269,61.365524076121474,98.4465999822503,0.00530786,911.7739056003885,7.860226349097132,23.925539,18.985941923113874,0.05671428751872,0.425533925323769,0.1940667,522.9560074738093,471,1,0,0,0,0,1,0
Copper_River,190201022102,2018,High Precipitation,0.2651012788448272,75.21411821395195,210.79532491500012,0.0144708,596.7484572165408,3.352557737047015,24.3882732,16.855335700625467,0.026486966819046,0.293741569109552,0.2009763,515.429525089032,446.94,1,0,0,0,0,1,1
Copper_River,190201022103,2018,High Precipitation,0.2466299833798462,84.24236008190043,2134.2273500434994,0.00766925,540.97734424166,6.017394673543672,25.8870831,17.671296807354896,7.733715272542482,3.994592830389502,1.1057851,521.5433252977981,394.37,1,1,0,0,1,0,1
Copper_River,190201022104,2018,High Precipitation,0.3034853398851005,105.83628351592863,2263.4191749917495,0.01168768,307.7559055118105,3.647197833557524,25.7911701,17.062170338276673,7.292288955787189,3.794133680314261,1.281991,519.7804700591323,219.65,1,1,0,0,1,0,1
Copper_River,190201022304,2018,High Precipitation,0.44854417112722644,100.97313402500967,27495.26902484425,0.0011511400000000001,322.2177808407985,4.517574837304453,19.561245,9.176578560954436,7.306825844903127,3.409179438106857,8.0839663,509.0920277624375,249.99,1,1,0,0,1,0,0
Copper_River,190201022503,2018,High Precipitation,0.23699310856570022,106.7417156046246,270.0233248357502,0.02322886,301.777984923402,14.58458463825775,17.5292091,12.531145437287252,9.3379295056427285,0.603378348159493,1.8925608,509.4087557806051,322.42,1,0,0,0,0,0,1
Copper_River,190201023001,2006,High Precipitation,0.24174949643488636,230.30970304696274,99.57427493224995,0.0131184,982,0.113539775043137,11.8370628,10.185586310821808,0.005100389510702,0.590968494166144,1.521592,524.7677596128655,423.13,0,1,0,0,0,1,0
Copper_River,190201023002,2006,High Precipitation,0.42944129815461,223.31273024970864,195.59107504274985,0.0018197400000000002,982.9394618834084,4.277267881042692,11.6625624,8.57435859371933,0.002596578536568,9.832596354818413,1.7127032,519.259810459258,460.95,0,1,0,0,0,1,1
