SiteID,Year,MA7d_DAT,MA7d_DMT,MxDAT,MnDAT,MxDMT,MnDMT,MnDNT,NDNT,MxDIFF,Jul,Aug,SIGMA_DAT,SIGMA_DMT,SIGMA_DNT,SD,CV_DAT,CV_DAT_K,RANGE_MAX,RANGE_MN,SUM_13_DMT,SUM_18_DMT,SUM_20_DMT,dur13,dur13mx,dur13gt6,dur13ct,dur18,dur18mx,dur18gt6,dur18ct,dur20,dur20mx,dur20gt6,dur20ct,MxDMT_jd,MA7d_DMT_jd,Jun
NPS_Rufus Creek,2014,4.510232142857143,6.866714285714286,4.83329166666667,4.222459239130434,7.318,5.818684782608695,3.1687826086956523,2.289,5.029,4.353549731182795,4.159256720430107,0.06797379758006188,0.5450904819636885,0.11481672145246058,0.26071785052056157,0.061745498477388104,9.399557953076785e-4,4.851,2.6499021739130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,157,4.152308333333334
NPS_Rufus Creek,2015,4.820946428571429,7.520857142857143,5.21858333333333,4.427478713768116,8.22,6.415641304347826,3.1845978260869567,2.37,5.8500000000000005,4.631182795698925,4.2689139784946235,0.13874666397644095,1.007311639154324,0.11708428702818921,0.3724871326320427,0.08413075628657923,0.0013419213055686841,5.436,3.2310434782608697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,172,4.380834722222223
NPS_Rufus Creek,2016,5.062660714285714,7.640714285714286,5.33766666666667,4.680366847826087,8.643,6.612576086956522,3.4561847826086955,2.423,6.220000000000001,4.781293010752688,4.564422043010753,0.07860109974966158,0.7312601809603442,0.13262736108456763,0.2803588767092306,0.059901047465852016,0.0010091009125103672,5.496,3.1563913043478262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,169,4.695886111111111
NPS_Rufus Creek,2017,4.863589285714288,7.4388571428571435,5.52779166666667,4.3853990036231885,8.618,6.316532608695653,3.1702173913043477,2.182,6.436,4.521194892473118,4.0886397849462375,0.18328899909316615,1.0823993725513616,0.10849116101290014,0.42812264491984786,0.09762455926271149,0.0015425875274175768,5.291,3.1463152173913045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,203,4.551727777777779
NPS_Rufus Creek,2018,5.451940476190475,7.937714285714285,5.55716666666667,4.579134057971014,8.195,6.307902173913043,3.371467391304348,1.886,6.309,4.881424731182795,4.625422043010753,0.2333815296408001,0.9558408145007167,0.26983565826564737,0.4830957768815622,0.10549937406628776,0.0017394494046156657,5.009,2.936434782608696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,203,4.21893611111111
NPS_Rufus Creek,2019,6.130005952380953,8.708571428571428,6.42416666666667,5.231847826086956,9.361,7.159652173913043,3.807065217391304,2.477,6.884,5.551127688172043,5.036991935483871,0.31584065886121704,1.1248422732919257,0.28811258910654564,0.5619970274487375,0.1074184582828493,0.002018799112935825,5.353999999999999,3.352586956521739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,188,5.103276388888889
NPS_Rufus Creek,2020,4.649595238095238,7.079571428571428,4.90866666666667,4.289855525362319,7.72,5.968478260869565,3.241641304347826,2.53,5.1899999999999995,4.427221774193549,4.291818548387097,0.0766984940266749,0.6318704500716674,0.10105713365981843,0.27694492959192246,0.06455810177162827,9.982160964851121e-4,4.793,2.726836956521739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,187,4.145881944444445
nv_Eyak_Hartney Creek,2016,11.4155818452381,11.946857142857143,12.0738854166667,9.385440777153562,12.705,9.830797752808989,8.994325842696629,5.061,7.644,10.143394825268818,11.078181919642867,3.6072944553582724,3.3058442768130747,3.9104321085291116,1.899287881117097,0.20236533650507116,0.006722299602105977,1.8130000000000006,0.8364719101123596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,218,7.0223298611111105
nv_Eyak_Hartney Creek,2017,10.553598214285714,11.053857142857142,11.0338854166667,7.509491319444444,12.024,7.934551282051282,7.147307692307693,3.427,8.597,NA,9.87705880376344,5.00441524136853,4.929375575258075,5.135578397602398,2.2370550376261487,0.2978970135878188,0.007970708658770951,1.9219999999999988,0.7872435897435898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,222,5.101624999999999
nv_Eyak_Hartney Creek,2020,10.330020833333313,10.497857142857143,10.5829479166667,8.241463201992755,10.81,8.58308695652174,7.953271739130435,4.254,6.556000000000001,8.711713373655915,10.208681115591398,3.9108236315949587,3.59420276158624,4.230938991280459,1.9775802465626922,0.23995499319641697,0.00702786155649333,1.4879999999999995,0.6298152173913042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,238,5.722746180555556
